FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.97653e+12,4.36578e+10
0,0.1,1,3.16375e+12,1.17633e+11
0,1,10,3.90734e+11,1.48439e+11
0,10,100,1.26488e+11,4.33128e+11
0,100,1000,1.19922e+09,1.28807e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,8.27067e+09,3.07877e+08
1,1,10,3.93731e+09,2.95744e+09
1,10,100,1.22197e+10,3.16485e+10
1,100,1000,1.37878e+08,2.06155e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,9.5329e+09,2.182e+08
2,0.1,1,1.13206e+12,7.61544e+10
2,1,10,1.40902e+11,8.01926e+10
2,10,100,1.81921e+10,2.00027e+11
2,100,1000,3.29779e+08,1.46218e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.09403e+15,7.04671e+11
3,0.01,0.1,1.38203e+14,2.40527e+11
3,0.1,1,6.37618e+11,1.19037e+10
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,2.44025e+13,2.4116e+10
4,0.01,0.1,4.31775e+13,1.25852e+11
4,0.1,1,9.28647e+11,2.35062e+10
4,1,10,2.23663e+10,5.59692e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.78345e+14,3.93225e+11
5,0.01,0.1,9.42878e+13,2.21139e+11
5,0.1,1,8.64175e+11,1.56778e+10
5,1,10,8.21227e+09,3.97159e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.84779e+12,1.8751e+10
6,0.1,1,4.37022e+11,1.29775e+10
6,1,10,1.47973e+10,1.38203e+10
6,10,100,9.22327e+09,4.55517e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,9.15753e+11,1.09467e+10
7,0.1,1,1.01583e+12,2.65837e+10
7,1,10,4.08291e+10,4.00945e+10
7,10,100,9.78111e+09,7.66011e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,7.70919e+11,9.84804e+09
8,0.1,1,7.53237e+11,1.87583e+10
8,1,10,1.71524e+10,1.97966e+10
8,10,100,7.9989e+09,3.54324e+10
8,100,1000,0,0
8,1000,10000,0,0
