FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,2.97363e+12,5.30655e+10
0,0.1,1,2.78241e+12,1.79959e+11
0,1,10,4.04033e+11,2.26608e+11
0,10,100,1.39776e+11,4.91037e+11
0,100,1000,1.29407e+09,1.42189e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,3.37091e+09,1.01393e+09
1,1,10,4.6054e+09,5.11459e+09
1,10,100,1.00194e+10,3.96963e+10
1,100,1000,1.2891e+08,2.40852e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.17773e+10,2.35433e+08
2,0.1,1,1.41716e+12,1.27092e+11
2,1,10,1.93837e+11,1.27843e+11
2,10,100,2.3605e+10,2.08591e+11
2,100,1000,2.88964e+08,1.46912e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.94623e+14,7.40654e+11
3,0.01,0.1,9.73838e+13,2.77113e+11
3,0.1,1,5.43724e+11,1.27971e+10
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.68818e+13,2.36354e+10
4,0.01,0.1,3.33899e+13,1.50571e+11
4,0.1,1,1.6959e+12,4.13043e+10
4,1,10,2.07057e+10,5.18918e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.87562e+14,4.99275e+11
5,0.01,0.1,8.86277e+13,2.86759e+11
5,0.1,1,8.33545e+11,2.13652e+10
5,1,10,6.60797e+09,2.37664e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.59856e+12,2.73181e+10
6,0.1,1,7.14219e+11,1.63596e+10
6,1,10,9.8443e+09,1.29349e+10
6,10,100,7.67948e+09,5.43268e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.54329e+12,1.83297e+10
7,0.1,1,1.90028e+12,5.03246e+10
7,1,10,3.84907e+10,3.7655e+10
7,10,100,9.79398e+09,1.05615e+11
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.16288e+12,1.67986e+10
8,0.1,1,1.01198e+12,2.87532e+10
8,1,10,1.19517e+10,1.56935e+10
8,10,100,6.49988e+09,3.961e+10
8,100,1000,0,0
8,1000,10000,0,0
