FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.84625e+12,4.97228e+10
0,0.1,1,3.14906e+12,1.48406e+11
0,1,10,4.33115e+11,1.84164e+11
0,10,100,1.43293e+11,4.63788e+11
0,100,1000,1.26092e+09,1.35238e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,1.12926e+10,5.97263e+08
1,1,10,3.76799e+09,4.14872e+09
1,10,100,1.09923e+10,3.42289e+10
1,100,1000,1.61507e+08,2.14058e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.13503e+10,2.05623e+08
2,0.1,1,1.53392e+12,1.00935e+11
2,1,10,1.71942e+11,1.01419e+11
2,10,100,2.26027e+10,2.04869e+11
2,100,1000,3.04148e+08,1.44614e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.05423e+15,7.67407e+11
3,0.01,0.1,1.11464e+14,2.73063e+11
3,0.1,1,9.35055e+11,1.27599e+10
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,2.38963e+13,2.64723e+10
4,0.01,0.1,4.83216e+13,1.51643e+11
4,0.1,1,1.68229e+12,3.35662e+10
4,1,10,2.19263e+10,4.39671e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.82776e+14,4.69052e+11
5,0.01,0.1,1.14022e+14,2.76771e+11
5,0.1,1,1.153e+12,1.96221e+10
5,1,10,9.44517e+09,3.09805e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.13436e+12,2.56802e+10
6,0.1,1,9.0613e+11,1.54606e+10
6,1,10,1.15442e+10,1.35017e+10
6,10,100,8.39787e+09,5.16461e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.74612e+12,1.63277e+10
7,0.1,1,2.04282e+12,4.03117e+10
7,1,10,4.97334e+10,4.07526e+10
7,10,100,1.09306e+10,9.37593e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.63827e+12,1.49352e+10
8,0.1,1,1.28598e+12,2.52164e+10
8,1,10,1.44638e+10,1.7759e+10
8,10,100,7.20369e+09,3.86854e+10
8,100,1000,0,0
8,1000,10000,0,0
