FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.74888e+12,3.89404e+10
0,0.1,1,9.89895e+11,4.23829e+10
0,1,10,6.2776e+10,9.22136e+10
0,10,100,2.69553e+10,3.83907e+11
0,100,1000,1.56776e+09,1.05978e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,4.31544e+09,2.54088e+09
1,1,10,1.61799e+09,1.29868e+09
1,10,100,5.74385e+09,5.05015e+10
1,100,1000,3.76236e+07,4.51304e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.41071e+10,1.61398e+08
2,0.1,1,3.61623e+11,2.73913e+10
2,1,10,3.76455e+10,5.7653e+10
2,10,100,1.3353e+10,1.99937e+11
2,100,1000,3.33709e+08,1.49442e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.63971e+14,6.81581e+11
3,0.01,0.1,7.77055e+13,2.01832e+11
3,0.1,1,1.73648e+11,9.48935e+09
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.04521e+13,3.6038e+10
4,0.01,0.1,5.01652e+13,1.27252e+11
4,0.1,1,4.92885e+11,1.65791e+10
4,1,10,1.65927e+10,8.87073e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,3.48927e+14,3.61735e+11
5,0.01,0.1,5.09381e+13,1.60412e+11
5,0.1,1,2.87981e+11,1.12582e+10
5,1,10,1.30044e+10,5.33371e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.22059e+11,1.1952e+10
6,0.1,1,1.28324e+11,1.08827e+10
6,1,10,2.59255e+10,1.59914e+10
6,10,100,1.15724e+10,4.12812e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.31395e+11,4.77299e+09
7,0.1,1,5.66602e+11,1.61158e+10
7,1,10,3.75484e+10,4.18617e+10
7,10,100,1.13743e+10,6.76884e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.68763e+11,5.50228e+09
8,0.1,1,2.5174e+11,1.36044e+10
8,1,10,3.09547e+10,2.44935e+10
8,10,100,1.01638e+10,3.42843e+10
8,100,1000,0,0
8,1000,10000,0,0
