FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,6.02636e+12,4.05431e+10
0,0.1,1,3.02989e+12,6.56326e+10
0,1,10,1.99143e+11,1.02287e+11
0,10,100,8.04135e+10,3.83693e+11
0,100,1000,1.34996e+09,1.16627e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,7.49433e+09,7.42027e+08
1,1,10,2.22431e+09,1.67148e+09
1,10,100,7.75665e+09,3.33519e+10
1,100,1000,5.2642e+07,2.80341e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,2.03898e+10,3.09046e+08
2,0.1,1,7.88332e+11,3.61599e+10
2,1,10,7.64186e+10,5.60902e+10
2,10,100,1.3883e+10,1.92252e+11
2,100,1000,2.95559e+08,1.41542e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,6.93264e+14,5.24663e+11
3,0.01,0.1,6.54818e+13,1.62946e+11
3,0.1,1,1.45033e+11,8.53581e+09
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,2.53717e+13,2.57288e+10
4,0.01,0.1,4.13499e+13,9.95612e+10
4,0.1,1,5.47643e+11,1.58549e+10
4,1,10,1.50287e+10,7.41901e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.9536e+14,2.91097e+11
5,0.01,0.1,4.36523e+13,1.32636e+11
5,0.1,1,2.8723e+11,1.0587e+10
5,1,10,1.16949e+10,4.84107e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.30867e+11,1.0371e+10
6,0.1,1,1.26639e+11,9.90731e+09
6,1,10,2.37758e+10,1.47478e+10
6,10,100,1.03527e+10,3.82937e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.78322e+11,4.79354e+09
7,0.1,1,6.19733e+11,1.5683e+10
7,1,10,3.41091e+10,3.63488e+10
7,10,100,1.12696e+10,6.3047e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.44688e+11,4.9625e+09
8,0.1,1,3.26292e+11,1.30706e+10
8,1,10,2.87455e+10,2.22716e+10
8,10,100,8.96462e+09,3.14317e+10
8,100,1000,0,0
8,1000,10000,0,0
