FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,2.21194e+12,5.46605e+10
0,0.1,1,2.42326e+12,2.09539e+11
0,1,10,3.79715e+11,2.75405e+11
0,10,100,1.30762e+11,5.14725e+11
0,100,1000,1.29473e+09,1.48213e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,1.70011e+09,1.54094e+09
1,1,10,3.87621e+09,5.75827e+09
1,10,100,9.77335e+09,4.50615e+10
1,100,1000,9.72892e+07,2.67757e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.27569e+10,2.85863e+08
2,0.1,1,1.04335e+12,1.46445e+11
2,1,10,1.95648e+11,1.52547e+11
2,10,100,2.25557e+10,2.14121e+11
2,100,1000,2.7396e+08,1.49147e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.38937e+14,6.42916e+11
3,0.01,0.1,8.20609e+13,2.30369e+11
3,0.1,1,5.09713e+11,1.07769e+10
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.51761e+13,1.95646e+10
4,0.01,0.1,2.88454e+13,1.1419e+11
4,0.1,1,1.20166e+12,3.47077e+10
4,1,10,1.90888e+10,5.1924e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.57834e+14,4.39125e+11
5,0.01,0.1,7.75054e+13,2.36365e+11
5,0.1,1,6.52502e+11,1.81697e+10
5,1,10,7.76603e+09,2.25786e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.33698e+12,2.26385e+10
6,0.1,1,5.97685e+11,1.38377e+10
6,1,10,1.01693e+10,1.24041e+10
6,10,100,7.30854e+09,5.24787e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.19365e+12,1.36834e+10
7,0.1,1,1.53325e+12,4.16488e+10
7,1,10,3.71624e+10,3.50947e+10
7,10,100,9.9504e+09,1.01537e+11
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,9.2707e+11,1.3571e+10
8,0.1,1,8.73999e+11,2.48798e+10
8,1,10,1.10084e+10,1.48072e+10
8,10,100,6.14983e+09,3.82117e+10
8,100,1000,0,0
8,1000,10000,0,0
