FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.27018e+12,4.86703e+10
0,0.1,1,1.34314e+12,2.19835e+11
0,1,10,3.1145e+11,3.18998e+11
0,10,100,1.13019e+11,5.29648e+11
0,100,1000,1.23978e+09,1.52363e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,8.7981e+08,1.39924e+09
1,1,10,2.65636e+09,5.71305e+09
1,10,100,7.6248e+09,5.04321e+10
1,100,1000,7.8526e+07,2.99606e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.74807e+10,3.50817e+08
2,0.1,1,5.68667e+11,1.40898e+11
2,1,10,1.58916e+11,1.71811e+11
2,10,100,1.96091e+10,2.18723e+11
2,100,1000,2.59193e+08,1.50899e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.53054e+14,5.65114e+11
3,0.01,0.1,7.58516e+13,1.95898e+11
3,0.1,1,3.74819e+11,8.99633e+09
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.38578e+13,1.67681e+10
4,0.01,0.1,2.5798e+13,9.2389e+10
4,0.1,1,1.04024e+12,2.757e+10
4,1,10,1.8285e+10,4.9414e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.07123e+14,3.91324e+11
5,0.01,0.1,7.05443e+13,1.99702e+11
5,0.1,1,6.53209e+11,1.53102e+10
5,1,10,5.48849e+09,2.06062e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.97825e+12,1.85215e+10
6,0.1,1,5.43151e+11,1.20182e+10
6,1,10,9.97517e+09,1.19161e+10
6,10,100,6.88232e+09,5.00762e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.04905e+12,1.05178e+10
7,0.1,1,1.20052e+12,3.31756e+10
7,1,10,3.75203e+10,3.28952e+10
7,10,100,9.47089e+09,9.63035e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,8.14796e+11,1.05646e+10
8,0.1,1,7.05985e+11,2.08675e+10
8,1,10,1.05932e+10,1.38351e+10
8,10,100,5.81019e+09,3.65858e+10
8,100,1000,0,0
8,1000,10000,0,0
