FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.79304e+12,4.04554e+10
0,0.1,1,3.28478e+12,8.9795e+10
0,1,10,3.14946e+11,1.19643e+11
0,10,100,1.08807e+11,4.06487e+11
0,100,1000,1.23734e+09,1.21052e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,1.08105e+10,4.81983e+08
1,1,10,2.36507e+09,2.1855e+09
1,10,100,1.01443e+10,3.10488e+10
1,100,1000,1.62442e+08,2.28003e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.17629e+10,2.76657e+08
2,0.1,1,9.98367e+11,5.31973e+10
2,1,10,1.09134e+11,6.45716e+10
2,10,100,1.62705e+10,1.95454e+11
2,100,1000,3.16682e+08,1.42087e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.91954e+14,6.02589e+11
3,0.01,0.1,9.19327e+13,1.91083e+11
3,0.1,1,2.14427e+11,9.89753e+09
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.04049e+13,2.6857e+10
4,0.01,0.1,3.95782e+13,1.05645e+11
4,0.1,1,6.85568e+11,1.92996e+10
4,1,10,1.75551e+10,6.91861e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.30271e+14,3.36161e+11
5,0.01,0.1,6.04116e+13,1.70308e+11
5,0.1,1,4.05067e+11,1.27484e+10
5,1,10,1.12979e+10,4.7132e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.05766e+12,1.33897e+10
6,0.1,1,1.63212e+11,1.12707e+10
6,1,10,2.2705e+10,1.43903e+10
6,10,100,9.85678e+09,3.98709e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.71237e+11,6.9963e+09
7,0.1,1,8.49182e+11,1.98165e+10
7,1,10,3.71907e+10,3.47369e+10
7,10,100,1.04634e+10,6.32861e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,4.31569e+11,6.47513e+09
8,0.1,1,4.61285e+11,1.53785e+10
8,1,10,2.71222e+10,2.15243e+10
8,10,100,8.53818e+09,3.15197e+10
8,100,1000,0,0
8,1000,10000,0,0
