FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.11818e+12,3.39832e+10
0,0.1,1,1.91688e+11,3.16763e+10
0,1,10,3.88884e+10,9.67296e+10
0,10,100,2.01809e+10,4.08946e+11
0,100,1000,1.82684e+09,9.73097e+10
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,4.23516e+09,4.06944e+09
1,1,10,4.56514e+08,1.90433e+09
1,10,100,6.25696e+09,8.37158e+10
1,100,1000,6.46264e+07,6.1951e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,8.22098e+08,2.04607e+07
2,0.1,1,1.09004e+11,3.04442e+10
2,1,10,1.99113e+10,6.92846e+10
2,10,100,1.6135e+10,2.17368e+11
2,100,1000,4.27192e+08,1.57886e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.03643e+15,8.89696e+11
3,0.01,0.1,9.80488e+13,2.61036e+11
3,0.1,1,1.91668e+11,1.09014e+10
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.72696e+13,4.62126e+10
4,0.01,0.1,5.90606e+13,1.55741e+11
4,0.1,1,5.1751e+11,2.00507e+10
4,1,10,1.96089e+10,1.09083e+10
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.70188e+14,4.68922e+11
5,0.01,0.1,6.71522e+13,2.01532e+11
5,0.1,1,3.29322e+11,1.36598e+10
5,1,10,1.40137e+10,5.93227e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.14056e+11,1.48119e+10
6,0.1,1,1.44008e+11,1.22357e+10
6,1,10,2.84948e+10,1.7968e+10
6,10,100,1.3292e+10,4.65755e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.7605e+11,5.61936e+09
7,0.1,1,5.50415e+11,1.83719e+10
7,1,10,4.42316e+10,5.05323e+10
7,10,100,1.37116e+10,7.33994e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.91867e+11,7.07243e+09
8,0.1,1,2.64045e+11,1.59552e+10
8,1,10,3.4242e+10,2.72942e+10
8,10,100,1.17033e+10,3.82117e+10
8,100,1000,0,0
8,1000,10000,0,0
