FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,5.40172e+11,3.93443e+10
0,0.1,1,7.57425e+11,2.14663e+11
0,1,10,2.49867e+11,3.44914e+11
0,10,100,9.34326e+10,5.22303e+11
0,100,1000,1.16801e+09,1.53798e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,5.36552e+08,1.15995e+09
1,1,10,1.55728e+09,5.68605e+09
1,10,100,7.2561e+09,5.21399e+10
1,100,1000,6.32959e+07,3.1745e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,7.77168e+09,4.21204e+08
2,0.1,1,3.53773e+11,1.24301e+11
2,1,10,1.21625e+11,1.8301e+11
2,10,100,1.67663e+10,2.21919e+11
2,100,1000,2.44519e+08,1.52678e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,6.72723e+14,4.98664e+11
3,0.01,0.1,7.02521e+13,1.72999e+11
3,0.1,1,3.48124e+11,7.82775e+09
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.27841e+13,1.46066e+10
4,0.01,0.1,2.38617e+13,7.89865e+10
4,0.1,1,8.54371e+11,2.20649e+10
4,1,10,1.53569e+10,4.62732e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.51416e+14,3.49042e+11
5,0.01,0.1,6.53343e+13,1.75215e+11
5,0.1,1,5.02523e+11,1.32432e+10
5,1,10,4.8673e+09,1.93822e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.83785e+12,1.6311e+10
6,0.1,1,4.79674e+11,1.06061e+10
6,1,10,9.16049e+09,1.1472e+10
6,10,100,6.50338e+09,4.77925e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,9.58076e+11,8.96526e+09
7,0.1,1,1.04888e+12,2.73344e+10
7,1,10,3.33148e+10,3.13651e+10
7,10,100,8.72244e+09,9.15186e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,7.03696e+11,8.76495e+09
8,0.1,1,6.0812e+11,1.78544e+10
8,1,10,9.88314e+09,1.29256e+10
8,10,100,5.48878e+09,3.49204e+10
8,100,1000,0,0
8,1000,10000,0,0
