FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.71542e+12,3.73273e+10
0,0.1,1,3.12139e+11,3.69449e+10
0,1,10,4.17547e+10,9.38786e+10
0,10,100,1.90602e+10,3.96236e+11
0,100,1000,1.70201e+09,1.02211e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,2.77487e+09,3.12427e+09
1,1,10,7.84732e+08,1.72874e+09
1,10,100,5.43933e+09,6.58363e+10
1,100,1000,4.7599e+07,5.33883e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,3.42768e+09,5.24378e+07
2,0.1,1,1.59448e+11,2.85404e+10
2,1,10,2.01847e+10,6.30194e+10
2,10,100,1.46339e+10,2.09406e+11
2,100,1000,3.82545e+08,1.54536e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.98726e+14,7.8226e+11
3,0.01,0.1,8.82274e+13,2.29697e+11
3,0.1,1,1.80186e+11,1.01313e+10
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.32958e+13,4.16224e+10
4,0.01,0.1,5.50355e+13,1.40319e+11
4,0.1,1,5.1101e+11,1.80226e+10
4,1,10,1.86679e+10,9.83305e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.24742e+14,4.12443e+11
5,0.01,0.1,5.95156e+13,1.78164e+11
5,0.1,1,3.10415e+11,1.24952e+10
5,1,10,1.34398e+10,5.63976e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.87033e+11,1.31151e+10
6,0.1,1,1.35711e+11,1.15001e+10
6,1,10,2.77944e+10,1.68821e+10
6,10,100,1.23913e+10,4.38279e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.49335e+11,4.98046e+09
7,0.1,1,5.41266e+11,1.65854e+10
7,1,10,4.16441e+10,4.59988e+10
7,10,100,1.27379e+10,7.04467e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.88193e+11,6.21654e+09
8,0.1,1,2.58377e+11,1.46032e+10
8,1,10,3.237e+10,2.5807e+10
8,10,100,1.08954e+10,3.61735e+10
8,100,1000,0,0
8,1000,10000,0,0
