"var","x","y"
27.7008361816406,-149.5,10.5
27.6815299987793,-148.5,10.5
27.6886100769043,-147.5,10.5
27.6756000518799,-146.5,10.5
27.6949234008789,-145.5,10.5
27.6844158172607,-144.5,10.5
27.6691398620605,-143.5,10.5
27.6679725646973,-142.5,10.5
27.6421298980713,-141.5,10.5
27.6126823425293,-140.5,10.5
27.5519943237305,-139.5,10.5
27.5204296112061,-138.5,10.5
27.489860534668,-137.5,10.5
27.4512901306152,-136.5,10.5
27.449520111084,-135.5,10.5
27.4367179870605,-134.5,10.5
27.406810760498,-133.5,10.5
27.4244537353516,-132.5,10.5
27.4085006713867,-131.5,10.5
27.4061126708984,-130.5,10.5
27.3780708312988,-129.5,10.5
27.3770980834961,-128.5,10.5
27.3516654968262,-127.5,10.5
27.3858604431152,-126.5,10.5
27.3909606933594,-125.5,10.5
27.4540023803711,-124.5,10.5
27.4532489776611,-123.5,10.5
27.525276184082,-122.5,10.5
27.5420532226562,-121.5,10.5
27.592456817627,-120.5,10.5
27.6380462646484,-119.5,10.5
27.7006397247314,-118.5,10.5
27.7681083679199,-117.5,10.5
27.9041194915771,-116.5,10.5
27.9932346343994,-115.5,10.5
28.0473022460938,-114.5,10.5
28.1862010955811,-113.5,10.5
28.2553520202637,-112.5,10.5
28.4117755889893,-111.5,10.5
28.4930725097656,-110.5,10.5
28.5848236083984,-109.5,10.5
28.6802558898926,-108.5,10.5
28.8302421569824,-107.5,10.5
28.9292030334473,-106.5,10.5
29.0166282653809,-105.5,10.5
29.1402473449707,-104.5,10.5
29.2140674591064,-103.5,10.5
29.2229461669922,-102.5,10.5
29.1909694671631,-101.5,10.5
29.2285041809082,-100.5,10.5
29.2082366943359,-99.5,10.5
29.1363716125488,-98.5,10.5
29.1334323883057,-97.5,10.5
29.2122077941895,-96.5,10.5
29.2808151245117,-95.5,10.5
29.3278827667236,-94.5,10.5
29.435863494873,-93.5,10.5
29.4578247070312,-92.5,10.5
29.3903427124023,-91.5,10.5
29.2910118103027,-90.5,10.5
29.1366081237793,-89.5,10.5
29.0210037231445,-88.5,10.5
29.354190826416,-87.5,10.5
29.8066635131836,-86.5,10.5
29.8756141662598,-85.5,10.5
26.3065948486328,-84.5,10.5
26.980827331543,-83.5,10.5
28.2747592926025,-82.5,10.5
28.4708271026611,-81.5,10.5
28.6850852966309,-80.5,10.5
28.7074775695801,-79.5,10.5
28.7569580078125,-78.5,10.5
28.8430557250977,-77.5,10.5
28.9390106201172,-76.5,10.5
30.3408832550049,-75.5,10.5
31.2050952911377,-74.5,10.5
24.298038482666,-73.5,10.5
27.2914066314697,-72.5,10.5
31.4433250427246,-71.5,10.5
29.4366226196289,-70.5,10.5
27.519401550293,-69.5,10.5
26.9043502807617,-68.5,10.5
26.3759860992432,-67.5,10.5
26.4938888549805,-66.5,10.5
27.3408126831055,-65.5,10.5
27.0253162384033,-64.5,10.5
26.6254997253418,-63.5,10.5
27.64967918396,-62.5,10.5
27.7397308349609,-61.5,10.5
27.770435333252,-60.5,10.5
27.7653045654297,-59.5,10.5
27.7926025390625,-58.5,10.5
27.7621231079102,-57.5,10.5
27.74072265625,-56.5,10.5
27.7143707275391,-55.5,10.5
27.6623020172119,-54.5,10.5
27.5779590606689,-53.5,10.5
27.5406799316406,-52.5,10.5
27.4348602294922,-51.5,10.5
27.3501033782959,-50.5,10.5
27.4642105102539,-149.5,11.5
27.4353332519531,-148.5,11.5
27.4376525878906,-147.5,11.5
27.372730255127,-146.5,11.5
27.3934516906738,-145.5,11.5
27.3645782470703,-144.5,11.5
27.3752880096436,-143.5,11.5
27.352855682373,-142.5,11.5
27.3802261352539,-141.5,11.5
27.3333778381348,-140.5,11.5
27.3093852996826,-139.5,11.5
27.2409820556641,-138.5,11.5
27.1779155731201,-137.5,11.5
27.1384124755859,-136.5,11.5
27.10791015625,-135.5,11.5
27.1548538208008,-134.5,11.5
27.1297492980957,-133.5,11.5
27.1191501617432,-132.5,11.5
27.0836448669434,-131.5,11.5
27.0654220581055,-130.5,11.5
27.0174770355225,-129.5,11.5
27.0600776672363,-128.5,11.5
27.0541877746582,-127.5,11.5
27.1144256591797,-126.5,11.5
27.1463394165039,-125.5,11.5
27.2024803161621,-124.5,11.5
27.2199745178223,-123.5,11.5
27.2917003631592,-122.5,11.5
27.3435306549072,-121.5,11.5
