GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,0,2795.36,55214.8,12743.2,755.807,-2.20265,54,0.5,2,0,4294967295,0,5,5,0
15,0,41.8294,342.485,342.485,45735.7,-2.30426,54,0.5,2,625.717,57,1,5,3,2
15,0,162.81,2548.3,2366.28,26360.2,-2.29829,54,0.5,2,0,4294967295,0,5,5,0
15,0,6.64201,161.678,161.678,2.13667e+006,-2.2328,54,0.5,2,297.625,58,1,5,4,1
15,0,171.791,14954.3,2427.34,157403,-2.56896,54,0.5,2,0,4294967295,0,5,5,0
15,0,32.3448,655.11,655.11,20.0018,-2.30426,54,0.5,2,422.858,59,1,5,5,0
15,0,9.54355,367.855,367.855,17684.1,-2.42434,54,0.5,2,274.524,59,1,5,5,0
15,0,2.62624,116.969,116.969,1.25588e+007,-2.39563,54,0.5,2,204.593,58,1,5,4,1
15,0,4.8135,48.6842,48.6842,3.99549e+006,-2.03654,55,0.5,2,139.995,57,1,4,2,2
15,0,39.6689,319.122,319.122,2.3065e+006,-2.30426,55,0.5,2,343.526,58,1,4,3,1
15,0,2.9896,128.683,128.683,4.83159e+007,-2.39563,55,0.5,2,68.6898,59,1,4,4,0
15,0,6.64201,161.678,161.678,3.1379e+007,-2.2328,55,0.5,2,121.899,59,1,4,4,0
15,0,255.185,3140.31,2038.73,164855,-2.17287,55,0.5,2,0,4294967295,0,4,4,0
15,0,1.46122,38.4383,38.4383,5.40369e+007,-2.12484,55,0.5,2,83.4204,58,1,4,3,1
15,0,17.8283,152.405,152.405,2.70517e+006,-2.19737,55,0.5,2,255.41,58,1,4,3,1
15,0,71.6064,1116.98,988.713,49175.7,-2.17287,55,0.5,2,0,4294967295,0,4,4,0
15,0,291.23,5887.41,2178.36,1.60276e+006,-2.19737,55,0.5,2,0,4294967295,0,4,4,0
15,0,35.1145,1332.02,672.91,301832,-2.26013,55,0.5,2,0,4294967295,0,4,4,0
15,0,32.6476,649.269,649.269,76.7675,-2.30426,55,0.5,2,2.71974,59,1,4,4,0
15,0,263.303,18004.9,2073.98,405183,-2.12484,55,0.5,2,0,4294967295,0,4,4,0
15,0,21.4694,772.211,527.592,202604,-2.01164,55,0.5,2,0,4294967295,0,4,4,0
15,0,871.827,18496.5,4390.78,499943,-2.35496,55,0.5,2,0,4294967295,0,4,4,0
15,0,9.29584,366.272,351.697,1178.19,-2.42434,55,0.5,2,0,4294967295,0,4,4,0
15,0,1352.24,88499.3,5907.82,245282,-1.956,55,0.5,2,0,4294967295,0,4,4,0
15,0,122.843,6686.48,1331.96,327259,-2.39563,55,0.5,2,0,4294967295,0,4,4,0
15,0,74.7033,1116.5,595.231,2.59335e+006,-2.17287,56,0.5,2,0,4294967295,0,3,3,0
15,0,1.52382,42.1996,42.1996,2.24643e+008,-2.12484,56,0.5,2,18.7652,59,1,3,3,0
15,0,198.696,15455.7,1118.91,173724,-2.56896,56,0.5,2,0,4294967295,0,3,3,0
15,0,2.51829,114.609,83.2303,1.14762e+008,-2.39563,56,0.5,2,0,4294967295,0,3,3,0
15,0,4.80579,47.1629,47.1629,216553,-2.03654,56,0.5,2,71.1733,58,1,3,2,1
15,0,38.2755,341.874,341.874,1.85075e+006,-2.30426,56,0.5,2,54.4477,59,1,3,3,0
15,0,30.3269,607.149,346.923,5537.56,-2.30426,56,0.5,2,0,4294967295,0,3,3,0
15,0,36.0032,1287.57,384.612,2.0233e+006,-2.26013,56,0.5,2,0,4294967295,0,3,3,0
15,0,16.8995,150.435,150.435,1.6094e+006,-2.19737,56,0.5,2,97.1509,59,1,3,3,0
15,0,329.931,9493.72,1569.99,1.23536e+006,-2.43753,56,0.5,2,0,4294967295,0,3,3,0
15,0,10.3854,395.392,186.352,8.0586e+006,-2.42434,56,0.5,2,0,4294967295,0,3,3,0
15,0,539.118,8055.75,2217.11,22851.6,-2.07427,56,0.5,2,0,4294967295,0,3,3,0
15,0,6.75659,157.553,143.086,4.45431e+007,-2.2328,56,0.5,2,0,4294967295,0,3,3,0
15,0,43.9792,2537.3,432.567,735190,-2.05085,56,0.5,2,0,4294967295,0,3,3,0
15,0,158.502,2534.7,965.4,15216.8,-2.29829,56,0.5,2,0,4294967295,0,3,3,0
15,0,17.8894,750.585,255.685,177630,-2.01164,56,0.5,2,0,4294967295,0,3,3,0
15,0,785.415,41351.5,41351.5,1182.66,-2.58603,15,0.5,2,39670.6,29,1,44,14,30
15,0,465.155,31000.8,31000.8,21.4355,-2.12484,30,0.5,2,32444,43,1,29,13,16
15,1,238.567,13718.9,13718.9,77.2519,-2.05085,39,0.5,3.1332,42495.6,44,1,20,5,15
15,1,245.054,12044.5,12044.5,6.73898e+006,-2.05085,51,0.5,3.21256,8175.67,59,1,8,8,0
15,1,2059.92,56334.7,56334.7,8699.88,0.018007,51,0.5,3.0255,139426,56,1,8,5,3
15,1,2104.54,57608.1,57608.1,341.6,0.018007,53,0.5,3.0267,59764.3,58,1,6,5,1
15,1,252.233,13711.3,7488.76,423014,-2.05085,54,0.5,3.21373,0,4294967295,0,5,5,0
15,1,2085.51,61727.2,61727.2,86.6886,0.018007,54,0.5,3.02553,19361,59,1,5,5,0
15,1,2125.54,58151.9,49893,21.6179,0.018007,55,0.5,3.06224,0,4294967295,0,4,4,0
15,1,244.287,14139.1,5428.29,153339,-2.05085,56,0.5,3.11498,0,4294967295,0,3,3,0
15,1,142.519,13645.2,13645.2,5364.99,-2.05085,52,0.5,3.15309,19355.6,58,1,7,6,1
15,2,797.096,61263.6,61263.6,5439.78,-2.24328,3,0.5,2.84009,67223.1,30,1,56,27,29
15,2,3459.16,93416.6,93416.6,74.6165,-2.39627,3,0.5,2.85956,70174.2,29,1,56,26,30
15,2,598.268,7937.42,7937.42,1.13827,-2.30151,3,0.5,2.11408,8232.34,15,1,56,12,44
15,2,54.2572,3321.8,3321.8,15.5866,-2.42434,15,0.5,2.1155,1964.05,27,1,44,12,32
15,2,395.159,5878.14,5878.14,4375.43,-2.17287,15,0.5,2.05804,4453.75,27,1,44,12,32
15,2,993.23,17880.1,17880.1,124224,-2.07427,15,0.5,2.8901,26573.9,29,1,44,14,30
15,2,48.905,2443.72,2443.72,13.5974,-2.42434,18,0.5,2.21268,2701.46,28,1,41,10,31
15,2,115.169,5799.01,5799.01,25661.4,-2.39563,27,0.5,2.02552,2810.47,41,1,32,14,18
15,2,18.0311,313.992,313.992,106.387,-2.43753,28,0.5,2.58016,622.915,34,1,31,6,25
15,2,797.096,61263.6,52649.8,1.87177e+006,-2.24328,39,0.5,2.89579,0,4294967295,0,20,20,0
15,2,88.4308,1771.72,1771.72,39063.3,-2.98906,39,0.5,2.27907,2428.5,50,1,20,11,9
15,2,31.0444,642.173,642.173,2701.55,-2.35147,39,0.5,2.38989,906.479,46,1,20,7,13
15,2,69.1507,783.166,783.166,249.669,-2.30426,39,0.5,2.2582,1106.63,46,1,20,7,13
15,2,21.4546,1101.85,1101.85,6872.23,-3.69659,39,0.5,2.56413,1914.16,46,1,20,7,13
15,2,163.819,12235.7,12235.7,1528.15,-2.34468,39,0.5,2.22823,13457.7,55,1,20,16,4
15,2,44.0559,954.214,954.214,992.382,-2.10968,40,0.5,2.23211,971.663,50,1,19,10,9
15,2,1213.71,64978.6,64978.6,713610,-2.18019,40,0.5,2.8498,21593,58,1,19,18,1
15,2,31.4337,259.083,259.083,4870.35,-2.07427,41,0.5,2.53908,648.259,46,1,18,5,13
15,2,24.8495,467.678,467.678,556.979,-2.09167,42,0.5,2.63252,894.48,51,1,17,9,8
15,2,917.137,97323.7,17965.5,132.331,-2.56896,43,0.5,2.2468,0,4294967295,0,16,16,0
15,2,153.399,12353.9,5624.14,1.84651,-2.34468,43,0.5,2.02486,0,4294967295,0,16,16,0
15,2,83.6485,3747.29,3747.29,182922,-2.58603,43,0.5,2.36165,318.245,59,1,16,16,0
15,2,3459.16,93416.6,82833.8,5599.28,-2.39627,43,0.5,2.86668,0,4294967295,0,16,16,0
15,2,56.3894,3333.94,2712.16,7.28476,-2.42434,43,0.5,2.18877,0,4294967295,0,16,16,0
15,2,642.2,46234.5,46234.5,14681.7,-2.42434,30,0.5,2.94716,39281.8,49,1,29,19,10
15,2,2257.38,59964.2,59964.2,2.17644,-2.91946,3,0.5,2.9086,49610.8,22,1,56,19,37
15,2,699.177,32394.9,32394.9,4.79115,-2.18799,55,0.5,2.90791,33006.7,15,1,64,20,44
15,2,48.1515,903.371,903.371,20281.9,-2.10968,51,0.5,2.58553,553.673,59,1,8,8,0
15,2,140.327,13540,2002.27,55649.4,-2.34468,51,0.5,2.38313,0,4294967295,0,8,8,0
15,2,969.118,17886.6,3601.18,2.08832e+007,-2.07427,51,0.5,2.03731,0,4294967295,0,8,8,0
15,2,49.7827,2509.66,1537.77,31513.6,-2.42434,51,0.5,2.6522,0,4294967295,0,8,8,0
15,2,891.771,62198.1,4319.35,4.09354e+006,-2.06045,51,0.5,2.03634,0,4294967295,0,8,8,0
15,2,182.321,2564.34,1946.69,2773.08,-2.26478,51,0.5,2.17233,0,4294967295,0,8,8,0
15,2,230.921,4088.38,2054.47,385332,-2.03654,51,0.5,2.10981,0,4294967295,0,8,8,0
15,2,3459.16,93416.6,18996.1,7094.5,-2.39627,51,0.5,2.41587,0,4294967295,0,8,8,0
15,2,97.5113,1723.52,1723.52,99769,-2.98906,51,0.5,2.39739,77.8559,59,1,8,8,0
15,2,667.309,30878.2,3635.57,1.64003e+006,-2.18799,51,0.5,2.05072,0,4294967295,0,8,8,0
15,2,2259.91,60115.7,8410.33,15810,-2.91946,51,0.5,2.04206,0,4294967295,0,8,8,0
15,2,120.422,5373.82,1893.56,2.67212e+006,-2.39563,51,0.5,2.50261,0,4294967295,0,8,8,0
15,2,418.628,5389.42,2582.89,6.47001e+006,-2.07427,51,0.5,2.09245,0,4294967295,0,8,8,0
15,2,31.9863,678.014,678.014,62066.5,-2.35147,51,0.5,2.36891,444.527,58,1,8,7,1
15,2,632.245,7653.37,3596.32,2167.72,-2.30151,51,0.5,2.05621,0,4294967295,0,8,8,0
15,2,22.0041,1103.7,1031.75,1.39794e+006,-3.69659,51,0.5,2.40153,0,4294967295,0,8,8,0
15,2,18.0311,313.992,313.992,168566,-2.43753,52,0.5,2.46884,307.295,58,1,7,6,1
15,2,24.8095,472.753,472.753,69508.6,-2.09167,52,0.5,2.64241,467.197,59,1,7,7,0
15,2,33.0985,641.565,641.565,39975.1,-2.35147,53,0.5,2.52398,8.44411,59,1,6,6,0
15,2,66.1094,1956.61,1178.3,676293,-2.32502,53,0.5,2.67522,0,4294967295,0,6,6,0
15,2,21.208,1053.51,442.109,864945,-3.69659,53,0.5,2.17688,0,4294967295,0,6,6,0
15,2,54.2572,3321.8,872.155,11511.6,-2.42434,53,0.5,2.48046,0,4294967295,0,6,6,0
15,2,15.1565,269.027,269.027,2.46343e+006,-2.43753,53,0.5,2.60841,261.11,59,1,6,6,0
15,2,113.27,5927.7,1135.57,563228,-2.39563,53,0.5,2.25164,0,4294967295,0,6,6,0
15,2,31.4337,259.083,259.083,36983.7,-2.07427,53,0.5,2.71214,528.906,58,1,6,5,1
15,2,183.007,2455.08,1756.76,49479.7,-2.26478,53,0.5,2.58279,0,4294967295,0,6,6,0
15,2,218.256,4133.62,1415.31,397174,-2.03654,53,0.5,2.25091,0,4294967295,0,6,6,0
15,2,24.1965,828.227,376.545,1.57505e+006,-3.69659,54,0.5,2.22628,0,4294967295,0,5,5,0
15,2,145.499,11873.8,1440.65,3096.49,-2.34468,54,0.5,2.65002,0,4294967295,0,5,5,0
15,2,49.4768,2725.59,985.187,558665,-2.42434,54,0.5,2.74105,0,4294967295,0,5,5,0
15,2,993.23,17880.1,2487.01,9.46828e+006,-2.07427,54,0.5,2.09156,0,4294967295,0,5,5,0
15,2,21.4546,1101.85,276.169,2.37519e+006,-3.69659,55,0.5,2.34679,0,4294967295,0,4,4,0
15,2,363.213,6087.27,1352.19,340766,-2.17287,55,0.5,2.25112,0,4294967295,0,4,4,0
15,2,66.5006,867.186,560.15,7259.76,-2.30426,55,0.5,2.58081,0,4294967295,0,4,4,0
15,2,33.41,268.077,268.077,34832.1,-2.07427,55,0.5,2.43063,33.4338,59,1,4,4,0
