GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,0,448.589,4232.85,4232.85,525.284,-2.46243,111,0.5,2,4575.12,117,1,8,6,2
15,0,2.63266,104.551,68.325,5.95903e+008,-2.35147,111,0.5,2,0,4294967295,0,8,8,0
15,0,904.235,87851.5,12679.9,2.7406e+006,-2.18799,111,0.5,2,0,4294967295,0,8,8,0
15,0,4.57915,763.558,763.558,25193.5,-2.34468,112,0.5,2,509.047,118,1,7,6,1
15,0,55.9653,3043.09,2982.53,6383.95,-2.71651,112,0.5,2,0,4294967295,0,7,7,0
15,0,3.77441,193.411,193.411,788286,-2.24328,112,0.5,2,509.395,116,1,7,4,3
15,0,7.85955,1183.03,1183.03,9.24233,-2.24328,112,0.5,2,340.021,119,1,7,7,0
15,0,4.67736,1484.47,1271.01,104379,-2.24328,112,0.5,2,0,4294967295,0,7,7,0
15,0,13.8034,1113.29,1113.29,3211.79,-2.24328,112,0.5,2,628.964,118,1,7,6,1
15,0,12.2971,1512.77,1512.77,1.89965,-2.24328,112,0.5,2,265.938,119,1,7,7,0
15,0,2.00004,386.158,386.158,12.0009,-2.34468,112,0.5,2,484.181,118,1,7,6,1
15,0,6.18324,1358.05,1358.05,1.36315,-2.24328,112,0.5,2,66.4249,119,1,7,7,0
15,0,4.63746,511.917,511.917,2343.04,-2.34468,112,0.5,2,651.191,118,1,7,6,1
15,0,3.10704,470.408,470.408,13705.6,-2.34468,112,0.5,2,561.39,118,1,7,6,1
15,0,6.0834,1040.98,1040.98,644.743,-2.24328,112,0.5,2,307.662,119,1,7,7,0
15,0,9.45004,234.366,234.366,300.253,-2.46243,112,0.5,2,592.534,116,1,7,4,3
15,0,4.37191,399.698,399.698,600.191,-2.34468,112,0.5,2,636.939,117,1,7,5,2
15,0,15.8106,897.569,897.569,27.4513,-2.24328,112,0.5,2,869.91,118,1,7,6,1
15,0,382.652,16675.2,6824.99,316195,-2.71651,112,0.5,2,0,4294967295,0,7,7,0
15,0,3.66856,1606.21,1174.03,1003.58,-2.24328,112,0.5,2,0,4294967295,0,7,7,0
15,0,6.43919,1618.16,869.103,676.605,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,7.05866,1190.14,881.277,280.065,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,13.341,1293.2,1113.4,5008.34,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,13.4457,926.949,926.949,61921.4,-2.24328,113,0.5,2,222.347,119,1,6,6,0
15,0,6.31093,452.586,452.586,10.4991,-2.34468,113,0.5,2,388.132,118,1,6,5,1
15,0,4.85133,1560.67,742.532,340.979,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,52.9525,3333.61,1999.69,46.4677,-2.71651,113,0.5,2,0,4294967295,0,6,6,0
15,0,48.3061,5000.95,1925.55,3.46399,-2.71651,113,0.5,2,0,4294967295,0,6,6,0
15,0,4.70595,585.386,585.386,320.076,-2.34468,113,0.5,2,194.492,119,1,6,6,0
15,0,4366.51,33579.8,21310,164.824,-2.30426,113,0.5,2,0,4294967295,0,6,6,0
15,0,3.8003,452.646,452.646,268482,-2.34468,113,0.5,2,243.524,119,1,6,6,0
15,0,37.5572,3225.27,1713.19,5.08231,-2.71651,113,0.5,2,0,4294967295,0,6,6,0
15,0,1.65847,102.753,102.753,8.48243e+007,-2.35147,113,0.5,2,229.981,117,1,6,4,2
15,0,376.098,5838.08,5081.02,36679.3,-2.46243,113,0.5,2,0,4294967295,0,6,6,0
15,0,184.985,9167.05,3550.94,59769.3,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,10.2736,1588.13,1049.14,2744.63,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,8.46112,498.711,498.711,46720.8,-2.46243,113,0.5,2,427.992,118,1,6,5,1
15,0,139.047,10244.6,3050.06,5932.31,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,2724.42,19110,13663.8,5.14832e+006,-2.30426,113,0.5,2,0,4294967295,0,6,6,0
15,0,411.244,3786.12,3786.12,11.1525,-2.46243,113,0.5,2,1519.26,118,1,6,5,1
15,0,898.564,5901.28,5901.28,1617.56,-2.46243,113,0.5,2,2211.16,118,1,6,5,1
15,0,1.71254,176.118,176.118,360346,-2.24328,113,0.5,2,280.358,118,1,6,5,1
15,0,1.20079,99.8687,99.8687,2.39187e+007,-2.35147,113,0.5,2,232.926,117,1,6,4,2
15,0,3.66507,218.192,218.192,129174,-2.24328,113,0.5,2,384.705,117,1,6,4,2
15,0,3.81203,1712.66,736.327,10635.2,-2.24328,113,0.5,2,0,4294967295,0,6,6,0
15,0,2.31418,318.89,318.89,3.12908e+006,-2.34468,114,0.5,2,9.55703,119,1,5,5,0
15,0,12.3126,1260.07,676.401,11688.1,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,5.2259,1471.25,446.651,1677.15,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,1.38563,99.5207,99.5207,9.32544e+006,-2.35147,114,0.5,2,120.614,118,1,5,4,1
15,0,665.963,29920.8,5072.89,12817.4,-2.20756,114,0.5,2,0,4294967295,0,5,5,0
15,0,2.81236,452.01,353.14,1.10829e+006,-2.34468,114,0.5,2,0,4294967295,0,5,5,0
15,0,12.5843,321.49,321.49,5875.8,-2.46243,114,0.5,2,313.338,118,1,5,4,1
15,0,14.9011,962.868,725.276,535.333,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,12.4134,804.891,633.119,588.356,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,6.79428,1276.49,503.614,117739,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,3.63571,467.714,394.609,76898.2,-2.34468,114,0.5,2,0,4294967295,0,5,5,0
15,0,5.14924,634.815,467.63,6005.91,-2.34468,114,0.5,2,0,4294967295,0,5,5,0
15,0,4.02324,1606.51,421.493,17890.6,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,1.90201,392.271,314.919,232508,-2.34468,114,0.5,2,0,4294967295,0,5,5,0
15,0,62.3287,2794.71,1410.49,26.2553,-2.71651,114,0.5,2,0,4294967295,0,5,5,0
15,0,3.52094,207.776,207.776,59743.1,-2.24328,114,0.5,2,173.687,118,1,5,4,1
15,0,5.18173,1153.06,402.573,8.93109e+006,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,8.04456,882.896,528.017,1.07626e+006,-2.24328,114,0.5,2,0,4294967295,0,5,5,0
15,0,381.804,16166.3,3662.37,42034.1,-2.71651,114,0.5,2,0,4294967295,0,5,5,0
15,0,6.03143,477.802,477.802,116.054,-2.34468,114,0.5,2,3.012,119,1,5,5,0
15,0,1.97004,87.4286,87.4286,7.22966e+006,-2.35147,114,0.5,2,169.607,118,1,5,4,1
15,0,1.04081,79.701,79.701,466828,-2.35147,114,0.5,2,118.47,118,1,5,4,1
15,0,1133,63578.9,7010.01,216.666,-2.18799,114,0.5,2,0,4294967295,0,5,5,0
15,0,1.59873,51.6117,51.6117,8531.52,-2.35147,114,0.5,2,143.303,117,1,5,3,2
15,0,55.7627,1470.34,1301.16,1.04351,-2.20265,114,0.5,2,0,4294967295,0,5,5,0
15,0,2.17518,66.4818,66.4818,512925,-2.35147,114,0.5,2,159.601,117,1,5,3,2
15,0,4317.06,38167.2,16971.5,8599.51,-2.30426,114,0.5,2,0,4294967295,0,5,5,0
15,0,18.1031,239.589,239.589,74.9208,-2.46243,114,0.5,2,401.015,117,1,5,3,2
15,0,17.5527,236.581,236.581,83969.8,-2.46243,115,0.5,2,198.112,118,1,4,3,1
15,0,50.2205,5852.4,747.312,6.98378,-2.71651,115,0.5,2,0,4294967295,0,4,4,0
15,0,3.75508,1739.66,206.294,325388,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,11.575,773.343,331.369,21111.8,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,2.89073,471.947,163.075,4.22202e+006,-2.34468,115,0.5,2,0,4294967295,0,4,4,0
15,0,1.70745,129.231,129.231,3488.02,-2.35147,115,0.5,2,11.0226,119,1,4,4,0
15,0,434.248,3845.39,2738.85,1.98387,-2.46243,115,0.5,2,0,4294967295,0,4,4,0
15,0,15.2933,939.509,416.714,102.028,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,5.48619,656.755,247.724,1.23558e+006,-2.34468,115,0.5,2,0,4294967295,0,4,4,0
15,0,1.06812,83.8332,83.8332,2.68375e+006,-2.35147,115,0.5,2,32.0372,119,1,4,4,0
15,0,12.7654,1176.78,369.982,6848.52,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,515.182,6048.56,3031.57,1086.31,-2.46243,115,0.5,2,0,4294967295,0,4,4,0
15,0,1.88041,81.494,81.494,391644,-2.35147,115,0.5,2,65.9514,119,1,4,4,0
15,0,1.77076,178.007,130.245,1.25293,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,849.152,7083.17,4259.58,220.613,-2.46243,115,0.5,2,0,4294967295,0,4,4,0
15,0,6.99853,1347.73,274.9,113681,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
