GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,3.08694e+12
64,1,9.85939e+12
65,0,3.94617e+12
65,1,1.93379e+13
66,0,4.08678e+12
66,1,2.10109e+13
75,0,3.50498e+12
75,1,1.27261e+13
76,0,2.87708e+12
76,1,1.20536e+13
77,0,3.34947e+12
77,1,1.46728e+13
78,0,3.33177e+12
78,1,4.57522e+12
79,0,3.55445e+12
79,1,7.10514e+12
80,0,2.49762e+12
80,1,7.86476e+12
81,0,3.36162e+12
81,1,1.85507e+13
82,0,2.88669e+12
82,1,1.11625e+13
83,0,2.36474e+12
83,1,7.38099e+12
84,0,2.10587e+12
84,1,6.46735e+12
85,0,2.55924e+12
85,1,8.50731e+12
86,0,2.42197e+12
86,1,7.32961e+12
87,0,3.1744e+12
87,1,1.21894e+13
88,0,3.29221e+12
88,1,1.43053e+13
164,0,2.81964e+12
164,1,8.03686e+12
165,0,3.84445e+12
165,1,1.61476e+13
176,0,2.7593e+12
176,1,8.86511e+12
177,0,2.2734e+12
177,1,5.81078e+12
179,0,2.74992e+12
179,1,1.07988e+13
180,0,2.84678e+12
180,1,8.70913e+12
263,0,2.82501e+12
263,1,8.62991e+12
264,0,3.06126e+12
264,1,9.34485e+12
265,0,3.14599e+12
265,1,1.12713e+13
362,0,3.06896e+12
362,1,1.06842e+13
363,0,2.88993e+12
363,1,9.04006e+12
364,0,3.86162e+12
364,1,1.76183e+13
365,0,2.61118e+12
365,1,6.67504e+12
366,0,2.96423e+12
366,1,9.76221e+12
458,0,2.68089e+12
458,1,7.36316e+12
459,0,3.29484e+12
459,1,1.22134e+13
460,0,2.80253e+12
460,1,7.99124e+12
461,0,2.97767e+12
461,1,9.04639e+12
462,0,3.11956e+12
462,1,1.03164e+13
463,0,3.39638e+12
463,1,1.22891e+13
464,0,3.17187e+12
464,1,9.37456e+12
465,0,3.50434e+12
465,1,1.0489e+13
466,0,3.18894e+12
466,1,9.76493e+12
557,0,3.74263e+12
557,1,1.59511e+13
558,0,2.11943e+12
558,1,7.54521e+12
559,0,2.62797e+12
559,1,7.68944e+12
560,0,3.9728e+12
560,1,1.57575e+13
561,0,3.36448e+12
561,1,1.04793e+13
562,0,3.13008e+12
562,1,1.05401e+13
563,0,3.34217e+12
563,1,1.00607e+13
564,0,4.44279e+12
564,1,1.93995e+13
565,0,2.91493e+12
565,1,8.14824e+12
566,0,3.67649e+12
566,1,1.31605e+13
652,0,2.62454e+12
652,1,8.08828e+12
653,0,2.42526e+12
653,1,9.89002e+12
654,0,2.96227e+12
654,1,1.20666e+13
656,0,3.36446e+12
656,1,1.39115e+13
657,0,3.68515e+12
657,1,1.39378e+13
658,0,3.52136e+12
658,1,1.34408e+13
659,0,3.62994e+12
659,1,1.05424e+13
660,0,3.79099e+12
660,1,1.10479e+13
661,0,3.18968e+12
661,1,1.02012e+13
749,0,2.64183e+12
749,1,7.63162e+12
750,0,2.95135e+12
750,1,1.99412e+13
751,0,2.46892e+12
751,1,9.07508e+12
752,0,2.02399e+12
752,1,7.54963e+12
753,0,3.30419e+12
753,1,1.32046e+13
754,0,4.12576e+12
754,1,1.81039e+13
755,0,3.33715e+12
755,1,9.16829e+12
756,0,3.05771e+12
756,1,7.98457e+12
757,0,2.91367e+12
757,1,1.01011e+13
758,0,4.03212e+12
758,1,1.33602e+13
759,0,3.65317e+12
759,1,1.21416e+13
760,0,3.74911e+12
760,1,1.23772e+13
761,0,4.31077e+12
761,1,2.10573e+13
847,0,3.066e+12
847,1,1.72908e+13
848,0,3.4493e+12
848,1,1.62114e+13
849,0,3.74872e+12
849,1,2.11219e+13
850,0,2.92901e+12
850,1,1.23673e+13
851,0,1.61956e+12
851,1,4.00629e+12
852,0,3.10894e+12
852,1,1.55037e+13
853,0,2.78109e+12
853,1,8.03339e+12
854,0,4.04008e+12
854,1,1.43763e+13
855,0,2.13243e+12
855,1,6.03677e+12
856,0,3.69845e+12
856,1,1.3266e+13
857,0,3.92247e+12
857,1,1.36393e+13
858,0,3.5689e+12
858,1,1.08508e+13
859,0,3.19163e+12
859,1,8.0703e+12
860,0,2.86667e+12
860,1,8.26195e+12
861,0,2.63181e+12
861,1,6.45578e+12
878,0,3.52438e+12
878,1,1.55738e+13
