GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,2.96105e+12
64,1,1.11564e+13
65,0,2.97261e+12
65,1,8.51765e+12
66,0,2.94429e+12
66,1,9.14903e+12
75,0,2.99883e+12
75,1,1.20247e+13
76,0,2.92173e+12
76,1,1.49917e+13
77,0,2.46645e+12
77,1,6.80061e+12
78,0,2.8661e+12
78,1,4.04806e+12
79,0,3.07433e+12
79,1,6.23223e+12
80,0,2.88296e+12
80,1,9.5151e+12
81,0,3.14981e+12
81,1,1.00649e+13
82,0,2.66376e+12
82,1,7.65604e+12
83,0,1.69923e+12
83,1,3.89959e+12
84,0,2.97756e+12
84,1,9.97444e+12
85,0,2.80126e+12
85,1,7.80166e+12
86,0,2.43796e+12
86,1,6.58973e+12
87,0,3.11305e+12
87,1,8.91454e+12
88,0,3.11729e+12
88,1,1.02951e+13
164,0,2.3585e+12
164,1,6.11903e+12
165,0,3.20465e+12
165,1,1.02494e+13
176,0,3.17171e+12
176,1,1.21717e+13
177,0,1.92866e+12
177,1,5.0347e+12
179,0,2.9281e+12
179,1,9.42734e+12
180,0,2.49996e+12
180,1,6.16202e+12
263,0,2.45585e+12
263,1,6.93083e+12
264,0,2.81718e+12
264,1,8.69162e+12
265,0,2.17072e+12
265,1,5.55967e+12
362,0,2.89651e+12
362,1,1.03302e+13
363,0,2.29818e+12
363,1,5.94986e+12
364,0,3.51155e+12
364,1,1.27019e+13
365,0,1.51267e+12
365,1,3.71602e+12
366,0,2.69502e+12
366,1,7.8271e+12
458,0,2.62476e+12
458,1,8.5798e+12
459,0,3.2076e+12
459,1,1.35467e+13
460,0,2.50332e+12
460,1,7.1152e+12
461,0,3.0466e+12
461,1,1.15058e+13
462,0,2.7122e+12
462,1,9.54106e+12
463,0,2.17869e+12
463,1,5.82851e+12
464,0,2.82639e+12
464,1,8.37372e+12
465,0,2.20276e+12
465,1,5.84669e+12
466,0,3.10993e+12
466,1,9.95607e+12
557,0,2.95387e+12
557,1,1.0186e+13
558,0,2.52807e+12
558,1,8.85626e+12
559,0,1.98083e+12
559,1,6.47077e+12
560,0,3.80234e+12
560,1,1.43391e+13
561,0,2.64555e+12
561,1,7.82617e+12
562,0,2.20633e+12
562,1,6.66135e+12
563,0,2.98005e+12
563,1,9.1692e+12
564,0,3.19792e+12
564,1,9.6987e+12
565,0,2.64804e+12
565,1,7.26302e+12
566,0,3.14819e+12
566,1,9.15732e+12
652,0,2.57327e+12
652,1,8.2213e+12
653,0,3.14727e+12
653,1,1.5838e+13
654,0,2.98904e+12
654,1,9.23297e+12
656,0,2.9355e+12
656,1,9.59478e+12
657,0,3.28189e+12
657,1,1.41647e+13
658,0,3.78672e+12
658,1,1.70329e+13
659,0,3.0567e+12
659,1,8.56136e+12
660,0,3.05852e+12
660,1,9.43518e+12
661,0,2.96695e+12
661,1,9.81885e+12
749,0,2.44252e+12
749,1,7.81384e+12
750,0,3.66928e+12
750,1,2.26439e+13
751,0,1.98226e+12
751,1,7.06524e+12
752,0,2.1455e+12
752,1,9.6111e+12
753,0,3.58636e+12
753,1,1.85321e+13
754,0,3.23032e+12
754,1,9.49319e+12
755,0,3.26826e+12
755,1,1.02711e+13
756,0,2.56038e+12
756,1,7.61846e+12
757,0,2.56998e+12
757,1,1.11499e+13
758,0,3.89044e+12
758,1,1.56212e+13
759,0,2.53406e+12
759,1,7.91774e+12
760,0,3.49528e+12
760,1,1.32897e+13
761,0,3.76591e+12
761,1,1.46865e+13
847,0,4.44142e+12
847,1,2.15899e+13
848,0,4.25441e+12
848,1,2.11851e+13
849,0,3.90644e+12
849,1,2.21729e+13
850,0,1.26282e+12
850,1,4.11281e+12
851,0,2.2254e+12
851,1,7.28554e+12
852,0,3.13276e+12
852,1,1.49506e+13
853,0,3.51504e+12
853,1,1.32417e+13
854,0,3.00974e+12
854,1,8.82726e+12
855,0,2.09521e+12
855,1,5.86401e+12
856,0,3.60455e+12
856,1,1.18021e+13
857,0,3.692e+12
857,1,1.3801e+13
858,0,2.14694e+12
858,1,5.99414e+12
859,0,1.7543e+12
859,1,4.69116e+12
860,0,2.3323e+12
860,1,7.07603e+12
861,0,1.94829e+12
861,1,4.97948e+12
878,0,2.95282e+12
878,1,7.96365e+12
883,0,3.17843e+12
883,1,1.02159e+13
946,0,3.4443e+12
946,1,1.54837e+13
947,0,3.21905e+12
947,1,1.42157e+13
948,0,3.42861e+12
948,1,1.92976e+13
949,0,2.67876e+12
949,1,9.48681e+12
950,0,2.69312e+12
950,1,1.21766e+13
951,0,2.67762e+12
951,1,1.60752e+13
952,0,3.78794e+12
952,1,2.36482e+13
953,0,4.35897e+12
953,1,1.83121e+13
959,0,2.89102e+12
959,1,8.10658e+12
960,0,1.87563e+12
960,1,5.05216e+12
961,0,2.80058e+12
961,1,7.77019e+12
962,0,1.9812e+12
962,1,5.43352e+12
977,0,3.34796e+12
977,1,1.18988e+13
978,0,3.12401e+12
978,1,9.06953e+12
979,0,3.36008e+12
979,1,9.53615e+12
1045,0,3.64476e+12
1045,1,1.6073e+13
1046,0,2.92753e+12
1046,1,9.73274e+12
1047,0,3.30774e+12
1047,1,1.48936e+13
1048,0,3.00006e+12
1048,1,1.36851e+13
1049,0,2.62942e+12
1049,1,1.18118e+13
1050,0,3.02629e+12
1050,1,1.47225e+13
1051,0,2.21779e+12
1051,1,7.22009e+12
1052,0,3.9763e+12
1052,1,1.3852e+13
1059,0,2.63512e+12
1059,1,7.43454e+12
