GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,3.56841e+12
64,1,1.63076e+13
65,0,3.57711e+12
65,1,2.60261e+13
66,0,3.47992e+12
66,1,2.48833e+13
75,0,3.53889e+12
75,1,2.15628e+13
76,0,1.73551e+12
76,1,7.8067e+12
77,0,3.0586e+12
77,1,1.70641e+13
78,0,3.63838e+12
78,1,5.84214e+12
79,0,3.60146e+12
79,1,9.76202e+12
80,0,2.88995e+12
80,1,1.38896e+13
81,0,3.16981e+12
81,1,2.00885e+13
82,0,3.25151e+12
82,1,2.15056e+13
83,0,3.22953e+12
83,1,1.96236e+13
84,0,3.41089e+12
84,1,1.80599e+13
85,0,3.31705e+12
85,1,1.88202e+13
86,0,3.00582e+12
86,1,1.56652e+13
87,0,3.09154e+12
87,1,1.30633e+13
88,0,3.62063e+12
88,1,2.24293e+13
164,0,3.35703e+12
164,1,1.32778e+13
165,0,3.76445e+12
165,1,2.58893e+13
176,0,2.83553e+12
176,1,1.0207e+13
177,0,3.08094e+12
177,1,1.29333e+13
179,0,2.70298e+12
179,1,1.21943e+13
180,0,3.28133e+12
180,1,1.95339e+13
263,0,3.4117e+12
263,1,1.75301e+13
264,0,3.52818e+12
264,1,2.10705e+13
265,0,3.6998e+12
265,1,2.35912e+13
362,0,3.15569e+12
362,1,1.58441e+13
363,0,2.75344e+12
363,1,1.07887e+13
364,0,3.29975e+12
364,1,2.08222e+13
365,0,3.32037e+12
365,1,1.73143e+13
366,0,3.28284e+12
366,1,1.73494e+13
458,0,2.63112e+12
458,1,1.28114e+13
459,0,2.77293e+12
459,1,1.26123e+13
460,0,3.33962e+12
460,1,2.67003e+13
461,0,3.16524e+12
461,1,2.62421e+13
462,0,2.46112e+12
462,1,1.44684e+13
463,0,3.0619e+12
463,1,2.65227e+13
464,0,2.66439e+12
464,1,1.25242e+13
465,0,3.0612e+12
465,1,1.78105e+13
466,0,3.42186e+12
466,1,1.97827e+13
557,0,3.33944e+12
557,1,2.26179e+13
558,0,2.11197e+12
558,1,1.37133e+13
559,0,2.93079e+12
559,1,1.99376e+13
560,0,2.70711e+12
560,1,1.62449e+13
561,0,3.0012e+12
561,1,1.97538e+13
562,0,2.88652e+12
562,1,1.719e+13
563,0,3.00161e+12
563,1,2.32003e+13
564,0,2.66132e+12
564,1,1.46411e+13
565,0,3.22869e+12
565,1,1.96542e+13
566,0,3.17352e+12
566,1,1.35598e+13
652,0,3.04892e+12
652,1,1.45646e+13
653,0,1.61478e+12
653,1,8.52563e+12
654,0,2.8304e+12
654,1,1.78931e+13
656,0,2.73817e+12
656,1,2.05445e+13
657,0,2.91412e+12
657,1,1.95427e+13
658,0,1.82833e+12
658,1,8.05294e+12
659,0,2.84314e+12
659,1,1.95787e+13
660,0,2.95194e+12
660,1,2.25621e+13
661,0,2.22419e+12
661,1,1.24028e+13
749,0,2.83815e+12
749,1,1.74812e+13
750,0,2.87652e+12
750,1,2.11704e+13
751,0,2.53107e+12
751,1,1.90017e+13
752,0,1.47695e+12
752,1,6.9042e+12
753,0,2.23649e+12
753,1,1.20747e+13
754,0,2.81768e+12
754,1,2.01395e+13
755,0,2.59629e+12
755,1,1.62007e+13
756,0,2.91545e+12
756,1,1.97916e+13
757,0,2.81349e+12
757,1,1.69774e+13
758,0,2.80677e+12
758,1,2.10091e+13
759,0,2.54829e+12
759,1,1.56876e+13
760,0,2.62904e+12
760,1,1.66009e+13
761,0,2.92306e+12
761,1,1.89152e+13
847,0,3.32729e+12
847,1,1.94631e+13
848,0,2.90169e+12
848,1,1.43744e+13
849,0,3.07497e+12
849,1,2.1886e+13
850,0,2.86646e+12
850,1,2.30996e+13
851,0,2.39854e+12
851,1,1.54771e+13
852,0,2.20099e+12
852,1,2.23568e+13
853,0,3.00515e+12
853,1,2.31694e+13
854,0,2.51322e+12
854,1,1.13577e+13
855,0,2.03862e+12
855,1,1.09868e+13
856,0,2.30521e+12
856,1,1.15455e+13
857,0,2.84419e+12
857,1,1.58502e+13
858,0,2.5925e+12
858,1,1.50059e+13
859,0,2.4628e+12
859,1,1.3702e+13
860,0,2.58415e+12
860,1,1.78588e+13
861,0,2.58026e+12
861,1,1.38568e+13
878,0,2.90202e+12
878,1,1.44037e+13
883,0,3.57175e+12
883,1,2.3068e+13
946,0,2.63565e+12
946,1,2.40354e+13
947,0,2.57178e+12
