GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,2.73758e+12
64,1,7.76738e+12
65,0,3.9433e+12
65,1,2.21249e+13
66,0,4.27568e+12
66,1,2.46959e+13
75,0,3.33967e+12
75,1,1.24848e+13
76,0,2.38124e+12
76,1,1.01149e+13
77,0,3.18284e+12
77,1,1.55908e+13
78,0,3.12536e+12
78,1,4.37819e+12
79,0,3.31023e+12
79,1,6.73487e+12
80,0,2.31468e+12
80,1,6.93541e+12
81,0,3.30747e+12
81,1,1.94164e+13
82,0,3.07677e+12
82,1,1.36104e+13
83,0,2.82649e+12
83,1,1.12403e+13
84,0,1.93218e+12
84,1,5.30675e+12
85,0,2.67646e+12
85,1,9.75275e+12
86,0,2.44882e+12
86,1,7.91812e+12
87,0,3.16862e+12
87,1,1.26918e+13
88,0,3.38769e+12
88,1,1.55964e+13
164,0,2.6646e+12
164,1,7.49058e+12
165,0,3.72596e+12
165,1,1.69643e+13
176,0,2.35315e+12
176,1,6.85862e+12
177,0,2.3539e+12
177,1,6.51708e+12
179,0,2.56725e+12
179,1,1.06071e+13
180,0,2.83971e+12
180,1,9.78618e+12
263,0,2.62918e+12
263,1,8.71335e+12
264,0,3.07788e+12
264,1,9.60742e+12
265,0,3.26185e+12
265,1,1.25477e+13
362,0,2.84778e+12
362,1,1.04576e+13
363,0,2.68482e+12
363,1,8.43418e+12
364,0,3.78812e+12
364,1,1.81582e+13
365,0,3.02279e+12
365,1,8.51765e+12
366,0,2.97702e+12
366,1,1.03443e+13
458,0,2.66008e+12
458,1,7.73555e+12
459,0,3.0371e+12
459,1,1.10775e+13
460,0,2.9734e+12
460,1,9.9816e+12
461,0,2.85594e+12
461,1,9.87442e+12
462,0,2.96499e+12
462,1,9.67717e+12
463,0,3.57543e+12
463,1,1.78406e+13
464,0,3.06875e+12
464,1,8.68736e+12
465,0,3.67749e+12
465,1,1.21218e+13
466,0,2.99593e+12
466,1,8.8056e+12
557,0,3.77226e+12
557,1,1.82353e+13
558,0,1.92439e+12
558,1,7.51113e+12
559,0,3.01596e+12
559,1,9.81962e+12
560,0,3.94119e+12
560,1,1.67546e+13
561,0,3.50431e+12
561,1,1.22906e+13
562,0,3.05411e+12
562,1,9.99688e+12
563,0,3.06932e+12
563,1,9.45058e+12
564,0,4.28165e+12
564,1,1.9616e+13
565,0,2.85321e+12
565,1,7.80093e+12
566,0,3.52802e+12
566,1,1.28464e+13
652,0,2.80184e+12
652,1,9.22521e+12
653,0,1.9802e+12
653,1,7.8985e+12
654,0,2.73355e+12
654,1,1.28127e+13
656,0,3.1502e+12
656,1,1.49625e+13
657,0,3.53897e+12
657,1,1.40737e+13
658,0,3.19178e+12
658,1,1.18093e+13
659,0,3.45452e+12
659,1,1.03578e+13
660,0,3.85044e+12
660,1,1.31925e+13
661,0,3.09246e+12
661,1,1.0662e+13
749,0,2.84689e+12
749,1,8.91599e+12
750,0,2.69338e+12
750,1,1.87749e+13
751,0,2.26685e+12
751,1,9.2557e+12
752,0,1.89216e+12
752,1,6.77024e+12
753,0,2.90179e+12
753,1,1.11287e+13
754,0,3.68763e+12
754,1,1.82591e+13
755,0,3.00614e+12
755,1,8.63688e+12
756,0,3.19268e+12
756,1,9.79449e+12
757,0,2.70431e+12
757,1,9.67441e+12
758,0,3.62956e+12
758,1,1.23164e+13
759,0,3.52188e+12
759,1,1.25508e+13
760,0,3.48025e+12
760,1,1.17741e+13
761,0,4.10235e+12
761,1,2.12382e+13
847,0,2.75472e+12
847,1,1.63468e+13
848,0,2.82911e+12
848,1,1.34217e+13
849,0,3.4e+12
849,1,1.8944e+13
850,0,2.72785e+12
850,1,1.26099e+13
851,0,1.57079e+12
851,1,4.04869e+12
852,0,2.82252e+12
852,1,1.49886e+13
853,0,2.25037e+12
853,1,6.16877e+12
854,0,3.79308e+12
854,1,1.42792e+13
855,0,1.99214e+12
855,1,5.67377e+12
856,0,3.3088e+12
856,1,1.27083e+13
857,0,3.60668e+12
857,1,1.29765e+13
858,0,3.44704e+12
858,1,1.16343e+13
859,0,3.07642e+12
859,1,8.35129e+12
860,0,2.80277e+12
860,1,8.83598e+12
861,0,2.5514e+12
861,1,6.35732e+12
878,0,3.19237e+12
878,1,1.62701e+13
883,0,2.60408e+12
883,1,6.9319e+12
946,0,2.55014e+12
946,1,1.44097e+13
947,0,2.16956e+12
947,1,1.09524e+13
948,0,2.32469e+12
948,1,1.6167e+13
949,0,2.3777e+12
949,1,8.38995e+12
950,0,2.15988e+12
950,1,7.75235e+12
951,0,2.07558e+12
951,1,1.84345e+13
952,0,3.14343e+12
952,1,2.9763e+13
953,0,3.59195e+12
953,1,2.30159e+13
959,0,3.53248e+12
959,1,1.53807e+13
960,0,3.01948e+12
960,1,1.16409e+13
961,0,3.40599e+12
961,1,1.17421e+13
962,0,3.20188e+12
962,1,1.17739e+13
977,0,2.0693e+12
977,1,6.25616e+12
978,0,2.90568e+12
978,1,1.12375e+13
979,0,3.06085e+12
979,1,1.00583e+13
1045,0,2.07175e+12
1045,1,1.4707e+13
1046,0,1.28241e+12
1046,1,4.10384e+12
1047,0,2.16394e+12
1047,1,1.50445e+13
1048,0,2.41644e+12
1048,1,9.32574e+12
1049,0,2.47118e+12
1049,1,1.57075e+13
1050,0,2.40337e+12
1050,1,1.54195e+13
1051,0,1.99697e+12
1051,1,4.61967e+12
1052,0,3.48974e+12
1052,1,1.711e+13
1059,0,2.28075e+12
1059,1,7.48817e+12
1060,0,3.72331e+12
1060,1,1.84321e+13
1061,0,3.04201e+12
1061,1,9.73888e+12
1062,0,4.02514e+12
1062,1,2.27447e+13
1072,0,2.93073e+12
1072,1,1.40319e+13
1073,0,2.98605e+12
1073,1,1.55164e+13
1074,0,2.69616e+12
1074,1,1.08298e+13
1145,0,2.01629e+12
1145,1,1.33437e+13
1146,0,1.92688e+12
1146,1,1.38034e+13
1147,0,1.63854e+12
1147,1,8.19156e+12
1148,0,1.77797e+12
1148,1,7.34513e+12
1149,0,2.08621e+12
1149,1,7.93265e+12
1150,0,3.26467e+12
1150,1,1.9249e+13
1151,0,3.45385e+12
1151,1,1.90769e+13
1152,0,2.0986e+12
1152,1,5.56168e+12
1160,0,2.80151e+12
1160,1,9.34004e+12
1161,0,2.5395e+12
1161,1,6.90175e+12
1162,0,2.76195e+12
1162,1,8.5296e+12
1172,0,2.8336e+12
1172,1,1.54968e+13
1173,0,2.95e+12
1173,1,1.41256e+13
1244,0,2.28888e+12
1244,1,8.74762e+12
1245,0,1.59037e+12
1245,1,6.81937e+12
1246,0,9.08781e+11
1246,1,3.25179e+12
1247,0,1.2717e+12
1247,1,5.39261e+12
1248,0,1.79699e+12
1248,1,4.94735e+12
1249,0,2.22427e+12
1249,1,4.59464e+12
1250,0,2.59888e+12
1250,1,7.82126e+12
1251,0,3.22729e+12
1251,1,1.08797e+13
1269,0,3.22529e+12
1269,1,1.53417e+13
1270,0,3.07832e+12
1270,1,1.54215e+13
1271,0,3.10556e+12
1271,1,1.38292e+13
1344,0,1.08035e+12
1344,1,2.90374e+12
1345,0,1.56723e+12
1345,1,7.19115e+12
1346,0,2.32918e+12
1346,1,7.12263e+12
1347,0,2.05608e+12
1347,1,3.88983e+12
1348,0,2.34027e+12
1348,1,3.6926e+12
1349,0,2.26142e+12
1349,1,1.04253e+13
1350,0,2.76547e+12
1350,1,1.61499e+13
1351,0,2.50575e+12
1351,1,8.24641e+12
1368,0,2.7557e+12
1368,1,9.84687e+12
1369,0,2.58654e+12
1369,1,9.08435e+12
1443,0,2.49957e+12
1443,1,1.71871e+13
1444,0,1.70179e+12
1444,1,6.20505e+12
1445,0,1.22074e+12
1445,1,3.722e+12
1446,0,2.06666e+12
1446,1,4.35019e+12
1447,0,1.87545e+12
