GridcellIndex,FunctionalGroupIndex,TotalBiomass
1061,1,1.39105e+13
1062,0,2.8144e+12
1062,1,2.04066e+13
1072,0,2.16481e+12
1072,1,1.09826e+13
1073,0,2.06032e+12
1073,1,1.16826e+13
1074,0,1.65311e+12
1074,1,6.59303e+12
1145,0,1.82629e+12
1145,1,1.50521e+13
1146,0,1.67389e+12
1146,1,1.78591e+13
1147,0,1.35085e+12
1147,1,9.13841e+12
1148,0,1.21943e+12
1148,1,7.95573e+12
1149,0,1.48365e+12
1149,1,1.10241e+13
1150,0,2.19263e+12
1150,1,2.14688e+13
1151,0,2.31279e+12
1151,1,2.15385e+13
1152,0,1.85826e+12
1152,1,7.8658e+12
1160,0,2.30389e+12
1160,1,1.16378e+13
1161,0,2.33004e+12
1161,1,1.22347e+13
1162,0,2.32701e+12
1162,1,1.22853e+13
1172,0,2.13687e+12
1172,1,1.28109e+13
1173,0,2.23744e+12
1173,1,1.08151e+13
1244,0,2.33121e+12
1244,1,1.81013e+13
1245,0,1.37413e+12
1245,1,8.30444e+12
1246,0,8.21991e+11
1246,1,5.13525e+12
1247,0,9.84651e+11
1247,1,6.7643e+12
1248,0,1.08006e+12
1248,1,5.21085e+12
1249,0,1.15737e+12
1249,1,3.72177e+12
1250,0,1.93128e+12
1250,1,1.39503e+13
1251,0,2.02618e+12
1251,1,1.13583e+13
1269,0,2.23608e+12
1269,1,1.21587e+13
1270,0,2.33821e+12
1270,1,1.33835e+13
1271,0,2.15651e+12
1271,1,1.05228e+13
1344,0,1.43192e+12
1344,1,7.11124e+12
1345,0,1.03534e+12
1345,1,7.30909e+12
1346,0,1.56229e+12
1346,1,7.79313e+12
1347,0,1.76395e+12
1347,1,5.79393e+12
1348,0,1.13818e+12
1348,1,2.33964e+12
1349,0,1.07702e+12
1349,1,6.99398e+12
1350,0,1.44917e+12
1350,1,1.43493e+13
1351,0,1.15064e+12
1351,1,4.72403e+12
1368,0,1.9381e+12
1368,1,7.64685e+12
1369,0,1.73815e+12
1369,1,6.80193e+12
1443,0,2.17389e+12
1443,1,2.55075e+13
1444,0,1.31466e+12
1444,1,1.05111e+13
1445,0,8.59585e+11
1445,1,5.28441e+12
1446,0,1.42621e+12
1446,1,4.38258e+12
1447,0,1.91705e+12
1447,1,3.54799e+12
1448,0,1.05139e+12
1448,1,5.03213e+12
1449,0,1.15911e+12
1449,1,9.03108e+12
1450,0,1.6887e+12
1450,1,1.77164e+13
1451,0,1.61731e+12
1451,1,8.12599e+12
1538,0,4.19624e+12
1538,1,2.20198e+12
1542,0,1.88454e+12
1542,1,1.38215e+13
1543,0,1.62136e+12
1543,1,1.68038e+13
1544,0,1.11975e+12
1544,1,9.75106e+12
1545,0,1.52293e+12
1545,1,3.79442e+12
1546,0,1.81053e+12
1546,1,1.01248e+12
1547,0,1.80112e+12
1547,1,1.76741e+12
1548,0,2.13725e+12
1548,1,3.08577e+12
1549,0,7.68735e+11
1549,1,3.08808e+12
1550,0,2.1179e+12
1550,1,1.04148e+13
1551,0,1.45202e+12
1551,1,3.187e+12
1637,0,4.32346e+12
1637,1,3.133e+12
1641,0,1.76995e+12
1641,1,1.38744e+13
1642,0,1.7595e+12
1642,1,1.75744e+13
1643,0,1.27793e+12
1643,1,1.26314e+13
1644,0,9.92164e+11
1644,1,7.92007e+12
1645,0,1.96543e+12
1645,1,2.34173e+12
1646,0,1.80512e+12
1646,1,1.16516e+12
1647,0,2.22126e+12
1647,1,2.01303e+12
1648,0,2.52594e+12
1648,1,5.31006e+12
1649,0,2.54373e+12
1649,1,5.64415e+12
1650,0,2.64355e+12
1650,1,6.68478e+12
1651,0,2.4292e+12
1651,1,8.9944e+12
1652,0,1.35391e+12
1652,1,8.60296e+12
1668,0,1.94673e+12
1668,1,1.3127e+13
1669,0,1.10915e+12
1669,1,7.68478e+12
1736,0,1.77134e+12
1736,1,8.42277e+11
1737,0,3.77474e+12
1737,1,3.21889e+12
1739,0,4.00413e+12
1739,1,6.53673e+12
1740,0,2.788e+12
1740,1,1.85685e+13
1741,0,1.85888e+12
1741,1,2.11591e+13
1742,0,1.13805e+12
1742,1,7.02187e+12
1743,0,1.08169e+12
1743,1,1.01397e+13
1744,0,1.90345e+12
1744,1,3.69692e+12
1745,0,2.67814e+12
1745,1,5.08057e+12
1746,0,3.02698e+12
1746,1,3.69336e+12
1747,0,1.81437e+12
1747,1,3.77749e+12
1748,0,2.34234e+12
1748,1,6.50087e+12
1749,0,2.4472e+12
1749,1,5.01816e+12
1750,0,2.20951e+12
1750,1,7.2233e+12
1751,0,1.3623e+12
1751,1,8.47244e+12
1752,0,1.68733e+12
1752,1,1.29886e+13
1767,0,1.59378e+12
1767,1,8.30868e+12
1768,0,1.35901e+12
1768,1,6.70352e+12
1769,0,1.51416e+12
1769,1,6.6097e+12
1836,0,1.19848e+12
1836,1,7.46627e+11
1839,0,4.63898e+12
1839,1,8.63938e+12
1840,0,2.02904e+12
1840,1,2.06037e+13
1841,0,1.61791e+12
1841,1,1.45915e+13
1842,0,8.50382e+11
1842,1,9.95877e+12
1843,0,9.95771e+11
1843,1,8.93359e+12
1844,0,3.02454e+12
1844,1,4.05402e+12
1845,0,2.74307e+12
1845,1,5.94336e+12
1846,0,2.23716e+12
1846,1,3.95809e+12
1847,0,1.41365e+12
1847,1,5.73675e+12
1848,0,2.00747e+12
1848,1,1.11897e+13
1849,0,1.85681e+12
1849,1,6.38223e+12
1850,0,2.02823e+12
1850,1,9.77891e+12
1851,0,1.67736e+12
1851,1,1.47011e+13
1852,0,1.7905e+12
1852,1,1.7167e+13
1867,0,1.6199e+12
1867,1,9.30055e+12
1868,0,1.36422e+12
1868,1,6.59026e+12
1869,0,2.0148e+12
1869,1,1.614e+13
1935,0,1.38821e+12
1935,1,1.03337e+12
1936,0,1.58083e+12
1936,1,1.18107e+12
1938,0,4.49847e+12
1938,1,4.05747e+12
1939,0,2.64359e+12
1939,1,9.42789e+12
1940,0,1.8214e+12
1940,1,9.96509e+12
1941,0,1.26827e+12
1941,1,1.17654e+13
1942,0,1.0231e+12
1942,1,7.38542e+12
1943,0,1.53605e+12
1943,1,7.91296e+12
1944,0,2.20723e+12
1944,1,4.07313e+12
1945,0,2.75947e+12
1945,1,3.79156e+12
1946,0,2.01799e+12
1946,1,3.35665e+12
1947,0,2.18745e+12
1947,1,6.32932e+12
1948,0,2.1047e+12
1948,1,7.54237e+12
1949,0,1.3138e+12
1949,1,7.66164e+12
1950,0,1.32225e+12
1950,1,1.30325e+13
1951,0,1.38814e+12
1951,1,9.33259e+12
1952,0,1.76761e+12
1952,1,1.73404e+13
1953,0,1.71041e+12
1953,1,1.6043e+13
1954,0,1.7677e+12
1954,1,1.72872e+13
