GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,3.30766e+12
64,1,1.2853e+13
65,0,3.47638e+12
65,1,2.58549e+13
66,0,3.56136e+12
66,1,2.59062e+13
75,0,3.57141e+12
75,1,2.02503e+13
76,0,1.80728e+12
76,1,7.89234e+12
77,0,2.91585e+12
77,1,1.63171e+13
78,0,3.27112e+12
78,1,5.09699e+12
79,0,3.46906e+12
79,1,8.9016e+12
80,0,2.52276e+12
80,1,1.11338e+13
81,0,2.96725e+12
81,1,1.98504e+13
82,0,3.08068e+12
82,1,2.09071e+13
83,0,2.91182e+12
83,1,1.87514e+13
84,0,2.99004e+12
84,1,1.46297e+13
85,0,2.98389e+12
85,1,1.55715e+13
86,0,2.80457e+12
86,1,1.36186e+13
87,0,3.02044e+12
87,1,1.34352e+13
88,0,3.47774e+12
88,1,2.16824e+13
164,0,3.17141e+12
164,1,1.20271e+13
165,0,3.64493e+12
165,1,2.52351e+13
176,0,2.44825e+12
176,1,7.74219e+12
177,0,2.64607e+12
177,1,1.0415e+13
179,0,2.45976e+12
179,1,1.15695e+13
180,0,3.01096e+12
180,1,1.88228e+13
263,0,3.13102e+12
263,1,1.48815e+13
264,0,3.3986e+12
264,1,1.89815e+13
265,0,3.57876e+12
265,1,2.26522e+13
362,0,2.87461e+12
362,1,1.36487e+13
363,0,2.5497e+12
363,1,9.781e+12
364,0,3.22188e+12
364,1,2.0901e+13
365,0,3.11292e+12
365,1,1.41903e+13
366,0,3.13394e+12
366,1,1.57822e+13
458,0,2.58781e+12
458,1,1.12839e+13
459,0,2.59785e+12
459,1,1.07698e+13
460,0,3.14262e+12
460,1,2.50795e+13
461,0,3.04955e+12
461,1,2.32517e+13
462,0,2.45798e+12
462,1,1.32565e+13
463,0,3.07285e+12
463,1,2.67227e+13
464,0,2.61452e+12
464,1,1.21067e+13
465,0,3.02028e+12
465,1,1.69952e+13
466,0,3.33656e+12
466,1,1.83944e+13
557,0,3.28719e+12
557,1,2.24516e+13
558,0,1.92393e+12
558,1,1.09625e+13
559,0,2.81688e+12
559,1,1.80602e+13
560,0,2.59571e+12
560,1,1.5871e+13
561,0,2.86597e+12
561,1,1.97538e+13
562,0,2.71921e+12
562,1,1.62446e+13
563,0,2.88329e+12
563,1,2.08922e+13
