GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,2.9986e+12
64,1,1.14654e+13
65,0,2.79935e+12
65,1,8.17648e+12
66,0,2.7597e+12
66,1,9.01954e+12
75,0,2.95005e+12
75,1,1.26041e+13
76,0,3.00887e+12
76,1,1.6551e+13
77,0,2.19075e+12
77,1,6.12823e+12
78,0,2.6702e+12
78,1,3.68471e+12
79,0,2.79255e+12
79,1,5.74108e+12
80,0,2.68051e+12
80,1,9.29876e+12
81,0,2.71075e+12
81,1,8.00687e+12
82,0,2.54199e+12
82,1,7.78249e+12
83,0,1.59687e+12
83,1,3.84426e+12
84,0,2.89991e+12
84,1,1.00209e+13
85,0,2.44454e+12
85,1,6.26433e+12
86,0,2.06877e+12
86,1,5.57526e+12
87,0,2.69202e+12
87,1,7.25924e+12
88,0,2.6345e+12
88,1,8.58448e+12
164,0,2.29636e+12
164,1,6.29166e+12
165,0,3.00332e+12
165,1,9.90184e+12
176,0,3.16271e+12
176,1,1.29658e+13
177,0,1.83143e+12
177,1,5.2458e+12
179,0,2.71411e+12
179,1,8.64992e+12
180,0,2.23212e+12
180,1,5.74106e+12
263,0,2.32073e+12
263,1,6.28965e+12
264,0,2.59591e+12
264,1,8.18059e+12
265,0,2.06246e+12
265,1,5.74436e+12
362,0,2.77336e+12
362,1,9.75997e+12
363,0,1.91745e+12
363,1,5.15688e+12
364,0,3.13175e+12
364,1,1.23216e+13
365,0,1.35421e+12
365,1,3.61641e+12
366,0,2.36005e+12
366,1,6.76186e+12
458,0,2.53102e+12
458,1,9.02368e+12
459,0,2.88995e+12
459,1,1.26999e+13
460,0,2.24282e+12
460,1,7.19644e+12
461,0,2.69874e+12
461,1,1.16279e+13
462,0,2.35664e+12
462,1,9.60059e+12
463,0,1.91955e+12
463,1,5.90685e+12
464,0,2.40127e+12
464,1,7.75339e+12
465,0,1.70269e+12
465,1,5.04291e+12
466,0,2.84299e+12
466,1,9.96801e+12
557,0,2.57803e+12
557,1,9.09637e+12
558,0,2.26404e+12
558,1,9.02436e+12
559,0,1.722e+12
559,1,6.5281e+12
560,0,3.21333e+12
560,1,1.40693e+13
561,0,2.09987e+12
561,1,6.95312e+12
562,0,1.87686e+12
562,1,6.30097e+12
563,0,2.49111e+12
563,1,8.86783e+12
564,0,2.57752e+12
564,1,8.33374e+12
565,0,2.3573e+12
565,1,7.22953e+12
566,0,2.74808e+12
566,1,7.86613e+12
652,0,2.39898e+12
652,1,7.81575e+12
653,0,2.74897e+12
653,1,1.57982e+13
654,0,2.51738e+12
654,1,8.77882e+12
656,0,2.48498e+12
656,1,9.22728e+12
657,0,2.85151e+12
657,1,1.47052e+13
658,0,2.9843e+12
658,1,1.60808e+13
659,0,2.30758e+12
659,1,7.38377e+12
660,0,2.49431e+12
660,1,9.53255e+12
661,0,2.51947e+12
661,1,9.27597e+12
749,0,2.22877e+12
749,1,7.90524e+12
750,0,3.19557e+12
750,1,2.01079e+13
751,0,1.577e+12
751,1,5.93622e+12
752,0,1.94251e+12
752,1,1.00389e+13
753,0,3.0342e+12
753,1,1.93218e+13
754,0,2.332e+12
754,1,7.4929e+12
755,0,2.59489e+12
755,1,9.71004e+12
756,0,2.03546e+12
756,1,6.8658e+12
757,0,1.94418e+12
757,1,1.00421e+13
758,0,2.98159e+12
758,1,1.44739e+13
759,0,1.84051e+12
759,1,6.65477e+12
760,0,2.75663e+12
760,1,1.23741e+13
761,0,2.96519e+12
761,1,1.24816e+13
847,0,3.8249e+12
847,1,1.86495e+13
848,0,3.68874e+12
848,1,1.90382e+13
849,0,3.35567e+12
849,1,1.84284e+13
850,0,8.40235e+11
850,1,3.09528e+12
851,0,1.96671e+12
851,1,7.3943e+12
852,0,2.4614e+12
852,1,1.309e+13
853,0,2.89893e+12
853,1,1.3506e+13
854,0,2.27673e+12
854,1,6.86632e+12
855,0,1.73162e+12
855,1,5.27172e+12
856,0,2.98269e+12
856,1,1.05953e+13
857,0,3.07591e+12
857,1,1.36222e+13
858,0,1.5419e+12
858,1,4.6106e+12
859,0,1.16471e+12
859,1,3.50049e+12
860,0,1.90705e+12
860,1,7.09246e+12
861,0,1.56825e+12
861,1,4.55718e+12
878,0,2.38009e+12
878,1,6.20733e+12
883,0,2.94421e+12
883,1,1.04072e+13
946,0,2.88731e+12
946,1,1.48968e+13
947,0,2.69326e+12
947,1,1.37701e+13
948,0,2.80758e+12
948,1,1.65973e+13
949,0,2.2768e+12
949,1,9.22598e+12
950,0,2.29216e+12
950,1,1.2472e+13
951,0,2.01271e+12
951,1,1.31519e+13
952,0,2.89296e+12
952,1,2.07177e+13
953,0,3.45958e+12
953,1,1.5653e+13
959,0,2.11688e+12
959,1,5.89537e+12
960,0,1.20817e+12
960,1,3.18138e+12
961,0,2.19821e+12
961,1,7.14192e+12
962,0,1.56699e+12
962,1,4.55564e+12
977,0,2.99342e+12
977,1,1.12494e+13
978,0,2.76325e+12
978,1,9.17032e+12
979,0,2.78671e+12
979,1,8.11983e+12
1045,0,2.71557e+12
1045,1,1.28504e+13
1046,0,2.24182e+12
1046,1,8.24364e+12
1047,0,2.42064e+12
1047,1,1.20869e+13
1048,0,2.27831e+12
1048,1,1.30908e+13
1049,0,1.96106e+12
1049,1,1.01072e+13
1050,0,2.26157e+12
1050,1,1.25379e+13
1051,0,1.87246e+12
1051,1,7.71714e+12
1052,0,3.04065e+12
1052,1,1.24719e+13
1059,0,2.18236e+12
1059,1,6.81316e+12
1060,0,1.7014e+12
1060,1,4.21551e+12
1061,0,6.25497e+11
1061,1,1.84648e+12
1062,0,3.03775e+12
1062,1,1.34732e+13
1072,0,3.54314e+12
1072,1,1.52422e+13
1073,0,3.31035e+12
1073,1,1.36095e+13
1074,0,2.94434e+12
1074,1,1.08204e+13
1145,0,3.33521e+12
1145,1,1.8122e+13
1146,0,2.40607e+12
1146,1,1.26227e+13
1147,0,2.47779e+12
1147,1,1.59282e+13
1148,0,1.60297e+12
1148,1,7.5176e+12
1149,0,1.17115e+12
1149,1,3.75094e+12
1150,0,2.05207e+12
1150,1,6.77876e+12
1151,0,1.38615e+12
1151,1,3.50418e+12
1152,0,1.57745e+12
1152,1,5.11192e+12
1160,0,1.57526e+12
1160,1,4.84745e+12
1161,0,1.23157e+12
1161,1,3.3285e+12
1162,0,2.32089e+12
1162,1,7.88748e+12
1172,0,3.57004e+12
1172,1,1.45757e+13
1173,0,3.56445e+12
1173,1,1.45528e+13
1244,0,3.03839e+12
1244,1,9.68548e+12
1245,0,2.31133e+12
1245,1,9.50539e+12
1246,0,1.59611e+12
1246,1,6.03378e+12
1247,0,1.73591e+12
1247,1,6.85445e+12
1248,0,1.10505e+12
1248,1,3.0685e+12
1249,0,1.87589e+12
1249,1,5.82026e+12
1250,0,1.79393e+12
1250,1,6.56576e+12
1251,0,2.9397e+12
1251,1,1.13685e+13
1269,0,3.52108e+12
1269,1,1.69545e+13
1270,0,2.76442e+12
1270,1,7.6228e+12
1271,0,3.31555e+12
1271,1,1.34903e+13
1344,0,2.53528e+12
1344,1,1.11138e+13
1345,0,1.93583e+12
1345,1,1.06567e+13
1346,0,3.23572e+12
1346,1,1.13668e+13
1347,0,2.01859e+12
1347,1,3.53657e+12
1348,0,2.4015e+12
1348,1,6.21527e+12
1349,0,2.10901e+12
1349,1,1.49153e+13
1350,0,2.34008e+12
1350,1,1.42454e+13
1351,0,2.18763e+12
1351,1,9.40048e+12
1368,0,2.86188e+12
1368,1,8.70704e+12
1369,0,2.9382e+12
1369,1,9.5316e+12
1443,0,3.12026e+12
1443,1,1.30145e+13
1444,0,1.49159e+12
1444,1,4.27245e+12
1445,0,2.0024e+12
1445,1,8.24523e+12
1446,0,3.16188e+12
1446,1,7.0445e+12
1447,0,2.29876e+12
1447,1,3.41191e+12
1448,0,1.28368e+12
1448,1,4.39654e+12
1449,0,2.04786e+12
1449,1,1.16217e+13
1450,0,2.28561e+12
1450,1,9.00871e+12
1451,0,1.29596e+12
1451,1,4.17734e+12
1538,0,2.98977e+12
1538,1,1.31014e+12
1542,0,3.24832e+12
1542,1,1.48525e+13
1543,0,2.16408e+12
1543,1,7.6549e+12
1544,0,2.19686e+12
1544,1,1.16031e+13
1545,0,3.54378e+12
1545,1,6.23462e+12
1546,0,3.48653e+12
1546,1,1.48555e+12
1547,0,2.44762e+12
1547,1,2.24613e+12
1548,0,3.74704e+12
1548,1,3.97482e+12
1549,0,1.8391e+12
1549,1,7.79096e+12
1550,0,3.34525e+12
1550,1,9.8337e+12
1551,0,3.78777e+12
1551,1,7.95461e+12
1637,0,2.36576e+12
1637,1,1.41712e+12
1641,0,2.65581e+12
1641,1,9.79374e+12
1642,0,2.92994e+12
1642,1,1.17132e+13
1643,0,2.24829e+12
1643,1,9.22547e+12
1644,0,2.30307e+12
1644,1,9.84486e+12
1645,0,2.08328e+12
1645,1,2.15743e+12
1646,0,3.12701e+12
1646,1,1.62201e+12
1647,0,3.10642e+12
1647,1,2.00857e+12
1648,0,4.22832e+12
1648,1,5.20995e+12
1649,0,4.42209e+12
1649,1,6.47856e+12
1650,0,2.76165e+12
1650,1,4.39828e+12
1651,0,2.13731e+12
1651,1,3.83942e+12
1652,0,1.81837e+12
1652,1,4.71681e+12
1668,0,2.36624e+12
1668,1,9.48887e+12
1669,0,1.59481e+12
1669,1,4.18387e+12
1736,0,1.07404e+12
1736,1,5.37774e+11
1737,0,3.95595e+12
1737,1,1.99551e+12
1739,0,2.97506e+12
1739,1,2.87356e+12
1740,0,3.60083e+12
1740,1,1.38702e+13
1741,0,3.05679e+12
1741,1,1.6744e+13
1742,0,1.96801e+12
1742,1,6.82011e+12
1743,0,2.46974e+12
1743,1,1.0355e+13
1744,0,2.01108e+12
1744,1,2.76207e+12
1745,0,4.2959e+12
1745,1,5.26225e+12
1746,0,1.87075e+12
1746,1,1.73544e+12
1747,0,3.06895e+12
1747,1,4.28217e+12
1748,0,1.44249e+12
1748,1,2.38783e+12
1749,0,3.99666e+12
1749,1,6.15145e+12
1750,0,3.12424e+12
1750,1,6.61255e+12
1751,0,2.4925e+12
1751,1,1.02148e+13
1752,0,2.45688e+12
1752,1,6.69157e+12
1767,0,1.6082e+12
1767,1,3.52352e+12
1768,0,1.88353e+12
1768,1,5.40695e+12
1769,0,2.20364e+12
1769,1,5.59414e+12
1836,0,1.11016e+12
1836,1,5.62614e+11
1839,0,4.65785e+12
1839,1,5.54538e+12
1840,0,2.63572e+12
1840,1,1.11536e+13
1841,0,2.60117e+12
1841,1,1.13318e+13
1842,0,1.58948e+12
1842,1,5.91613e+12
1843,0,2.0911e+12
1843,1,8.76018e+12
1844,0,4.04447e+12
