GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,3.0353e+12
64,1,1.07996e+13
65,0,3.49192e+12
65,1,1.10078e+13
66,0,3.36062e+12
66,1,1.12292e+13
75,0,3.22616e+12
75,1,1.18519e+13
76,0,3.10071e+12
76,1,1.43603e+13
77,0,3.18742e+12
77,1,1.01496e+13
78,0,3.21972e+12
78,1,4.46615e+12
79,0,3.61646e+12
79,1,7.26878e+12
80,0,3.09336e+12
80,1,1.02617e+13
81,0,3.50642e+12
81,1,1.28728e+13
82,0,2.85532e+12
82,1,8.65337e+12
83,0,1.82148e+12
83,1,4.27087e+12
84,0,2.96545e+12
84,1,9.9508e+12
85,0,2.91354e+12
85,1,8.44651e+12
86,0,2.6685e+12
86,1,7.55903e+12
87,0,3.3309e+12
87,1,1.01374e+13
88,0,3.46985e+12
88,1,1.17253e+13
164,0,2.54848e+12
164,1,6.637e+12
165,0,3.59853e+12
165,1,1.17817e+13
176,0,3.21614e+12
176,1,1.17943e+13
177,0,2.15731e+12
177,1,5.48178e+12
179,0,3.13809e+12
179,1,1.05973e+13
180,0,2.84324e+12
180,1,7.23684e+12
263,0,2.51793e+12
263,1,6.93996e+12
264,0,2.91262e+12
264,1,8.40391e+12
265,0,2.60163e+12
265,1,7.23217e+12
362,0,2.91628e+12
362,1,9.91581e+12
363,0,2.68434e+12
363,1,7.09308e+12
364,0,3.92796e+12
364,1,1.4209e+13
365,0,1.80104e+12
365,1,4.25488e+12
366,0,3.05998e+12
366,1,9.41173e+12
458,0,2.70651e+12
458,1,8.16233e+12
459,0,3.44263e+12
459,1,1.33971e+13
460,0,2.69902e+12
460,1,6.93408e+12
461,0,3.24643e+12
461,1,1.04541e+13
462,0,3.15079e+12
462,1,1.01424e+13
463,0,2.38966e+12
463,1,5.64231e+12
464,0,3.2361e+12
464,1,9.33067e+12
465,0,2.81189e+12
465,1,7.34904e+12
466,0,3.40401e+12
466,1,1.05178e+13
557,0,3.22374e+12
557,1,1.08997e+13
558,0,2.63141e+12
558,1,8.34512e+12
559,0,2.02177e+12
559,1,5.42999e+12
560,0,4.32125e+12
560,1,1.50205e+13
561,0,3.23808e+12
561,1,8.87417e+12
562,0,2.62186e+12
562,1,7.5024e+12
563,0,3.40414e+12
563,1,9.57175e+12
564,0,3.82253e+12
564,1,1.16269e+13
565,0,3.05534e+12
565,1,8.42249e+12
566,0,3.61156e+12
566,1,1.11704e+13
652,0,2.55127e+12
652,1,7.77159e+12
653,0,3.21307e+12
653,1,1.43935e+13
654,0,3.25326e+12
654,1,1.00672e+13
656,0,3.27613e+12
656,1,9.66638e+12
657,0,3.52961e+12
657,1,1.30005e+13
658,0,4.33829e+12
658,1,1.70778e+13
659,0,3.68906e+12
659,1,9.38408e+12
660,0,3.4641e+12
660,1,8.98442e+12
661,0,3.16481e+12
661,1,9.18612e+12
749,0,2.4521e+12
749,1,7.03684e+12
750,0,3.78325e+12
750,1,2.2966e+13
751,0,2.24743e+12
751,1,7.804e+12
752,0,2.13617e+12
752,1,8.54034e+12
753,0,3.74174e+12
753,1,1.65659e+13
754,0,3.80746e+12
754,1,1.09041e+13
755,0,3.57158e+12
755,1,9.97114e+12
756,0,2.76694e+12
756,1,7.17711e+12
757,0,3.02059e+12
757,1,1.12434e+13
758,0,4.52295e+12
758,1,1.56431e+13
759,0,3.21357e+12
759,1,9.38319e+12
760,0,4.01679e+12
760,1,1.36279e+13
761,0,4.40727e+12
761,1,1.70798e+13
847,0,4.31928e+12
847,1,2.15247e+13
848,0,4.51713e+12
848,1,2.19201e+13
849,0,4.17525e+12
849,1,2.39355e+13
850,0,1.7227e+12
850,1,5.08696e+12
851,0,2.20241e+12
851,1,6.31257e+12
852,0,3.58492e+12
852,1,1.56862e+13
853,0,3.70156e+12
853,1,1.18253e+13
854,0,3.6768e+12
854,1,1.09861e+13
855,0,2.17617e+12
855,1,5.72023e+12
856,0,3.9688e+12
856,1,1.245e+13
857,0,4.11825e+12
857,1,1.38174e+13
858,0,2.67464e+12
858,1,7.05464e+12
859,0,2.48051e+12
859,1,6.12202e+12
860,0,2.63479e+12
860,1,6.87111e+12
861,0,2.33782e+12
861,1,5.5898e+12
878,0,3.32165e+12
878,1,9.55404e+12
883,0,3.23711e+12
883,1,9.64425e+12
946,0,3.53858e+12
946,1,1.47714e+13
