GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,3.28961e+12
64,1,1.11648e+13
65,0,3.98002e+12
65,1,1.65891e+13
66,0,3.89714e+12
66,1,1.67083e+13
75,0,3.54348e+12
75,1,1.25319e+13
76,0,3.13251e+12
76,1,1.31357e+13
77,0,3.47131e+12
77,1,1.33455e+13
78,0,3.46429e+12
78,1,4.70168e+12
79,0,3.85312e+12
79,1,7.68545e+12
80,0,2.8199e+12
80,1,9.22972e+12
81,0,3.53352e+12
81,1,1.76422e+13
82,0,2.81057e+12
82,1,9.1803e+12
83,0,2.06079e+12
83,1,5.50373e+12
84,0,2.43429e+12
84,1,7.96998e+12
85,0,2.74018e+12
85,1,8.98668e+12
86,0,2.52708e+12
86,1,7.47443e+12
87,0,3.26976e+12
87,1,1.16459e+13
88,0,3.38279e+12
88,1,1.36196e+13
164,0,2.87768e+12
164,1,8.01419e+12
165,0,3.88024e+12
165,1,1.45669e+13
176,0,2.99782e+12
176,1,1.00162e+13
177,0,2.32333e+12
177,1,5.82072e+12
179,0,3.01532e+12
179,1,1.13083e+13
180,0,3.01722e+12
180,1,8.81916e+12
263,0,3e+12
263,1,8.82293e+12
264,0,3.06947e+12
264,1,9.08419e+12
265,0,2.89351e+12
265,1,9.196e+12
362,0,3.16754e+12
362,1,1.03128e+13
363,0,3.19028e+12
363,1,9.99935e+12
364,0,4.08844e+12
364,1,1.7393e+13
365,0,2.33241e+12
365,1,5.57584e+12
366,0,3.03287e+12
366,1,9.71174e+12
458,0,2.83627e+12
458,1,7.89108e+12
459,0,3.52764e+12
459,1,1.30318e+13
460,0,2.85592e+12
460,1,7.36502e+12
461,0,3.14408e+12
461,1,9.05294e+12
462,0,3.21944e+12
462,1,9.92288e+12
463,0,2.77981e+12
463,1,7.08493e+12
464,0,3.35358e+12
464,1,1.0109e+13
465,0,3.41219e+12
465,1,9.31715e+12
466,0,3.31859e+12
466,1,1.00345e+13
557,0,3.69444e+12
557,1,1.37311e+13
558,0,2.38349e+12
558,1,7.90075e+12
559,0,2.49013e+12
559,1,6.6756e+12
560,0,4.27274e+12
560,1,1.58895e+13
561,0,3.38633e+12
561,1,9.92759e+12
562,0,3.18199e+12
562,1,1.02793e+13
563,0,3.6265e+12
563,1,1.05841e+13
564,0,4.58868e+12
564,1,1.8205e+13
565,0,3.12319e+12
565,1,8.86673e+12
566,0,3.84067e+12
566,1,1.32757e+13
652,0,2.66336e+12
652,1,7.67695e+12
653,0,2.81696e+12
653,1,1.16304e+13
654,0,3.11826e+12
654,1,1.09661e+13
656,0,3.44861e+12
656,1,1.18181e+13
657,0,3.77353e+12
657,1,1.35005e+13
658,0,3.90882e+12
658,1,1.50302e+13
659,0,3.79736e+12
659,1,1.03522e+13
660,0,3.77797e+12
660,1,1.02049e+13
661,0,3.22242e+12
661,1,9.8613e+12
749,0,2.63883e+12
749,1,7.07043e+12
750,0,3.34384e+12
750,1,2.11193e+13
751,0,2.40276e+12
751,1,8.12835e+12
752,0,2.21297e+12
752,1,7.98649e+12
753,0,3.65659e+12
753,1,1.45741e+13
754,0,4.28159e+12
754,1,1.57938e+13
755,0,3.49557e+12
755,1,9.09711e+12
756,0,2.85871e+12
756,1,6.86244e+12
757,0,3.11335e+12
757,1,1.06876e+13
758,0,4.38684e+12
758,1,1.43862e+13
759,0,3.77172e+12
759,1,1.1871e+13
760,0,3.99108e+12
760,1,1.29963e+13
761,0,4.55333e+12
761,1,2.07595e+13
847,0,3.64803e+12
847,1,1.89427e+13
848,0,4.11963e+12
848,1,1.88017e+13
849,0,4.05806e+12
849,1,2.23847e+13
850,0,2.66927e+12
850,1,9.08396e+12
851,0,1.74712e+12
851,1,4.1255e+12
852,0,3.45618e+12
852,1,1.61521e+13
853,0,3.29841e+12
853,1,9.70196e+12
854,0,4.04931e+12
854,1,1.33955e+13
855,0,2.13449e+12
855,1,5.76531e+12
856,0,3.96943e+12
856,1,1.35195e+13
