GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
4872,0,2,48,72,6494.53,2,1,100,4.08301,5.29344,12.101,12.2615,68.7197,0.269685,29.2,388750,86034,17012.6,455.293,0.0731837,0,2.48406,9.20025,0.000256194,53.0037,393.532,0.408716,0.849074,0
4873,0,2,48,73,6494.53,2,1,100,0,5.47705,11.9486,12.9708,70.4967,0.21063,29.2,388750,86034,99949.4,471.687,0.0492633,0,2.21044,9.8563,0.000207831,53.0565,393.644,0.432361,0.854393,0
4874,0,2,48,74,6494.53,2,1,100,0,5.47869,12.0495,13.1974,72.3131,0.21063,29.2,388750,86034,99949.4,491.387,0.0649666,0,1.9282,10.478,0.000117744,55.1295,399.896,0.439913,0.855768,0
4875,0,2,48,75,6494.53,2,1,100,0,5.46557,11.9401,13.6785,73.0328,0.21063,29.2,388750,86034,99949.4,503.825,0.061073,0,1.79643,10.6162,0.000112471,55.8898,402.538,0.455951,0.860494,0
4876,0,2,48,76,6494.53,2,1,100,0,5.65738,11.8838,13.8685,71.5066,0.181102,29.2,388750,86034,99949.4,507.285,0.062713,0,1.56754,10.8675,9.22995e-05,55.8593,402.547,0.462284,0.859783,0
4877,0,2,48,77,6494.53,2,1,100,0.495253,5.74918,11.8494,14.2448,69.9443,0.21063,29.2,388750,541460,99949.4,507.452,0.0661719,0,1.6813,10.7485,0.000103511,56.0398,407.318,0.474825,0.862831,0
4878,0,2,48,78,6494.53,2,1,100,4.00549,5.93771,11.6066,14.2184,67.2,0.21063,29.2,388750,541460,99949.4,507.344,0.0649666,0,1.50331,10.7541,0.000107911,55.0084,404.66,0.473945,0.862672,0
4879,0,2,48,79,6494.53,2,1,100,15.8146,6.23115,11.7366,14.3439,64.3836,0.299213,29.2,388750,541460,99949.4,503.643,0.0690282,0,1.74943,10.6277,0.000119921,54.2735,406.551,0.478131,0.864089,0
4880,0,2,48,80,6494.53,2,1,100,14.9202,6.61803,11.9543,13.2795,62.6672,0.358268,29.2,388750,541460,99949.4,499.472,0.0710382,0,1.98887,10.3909,0.000148795,52.3894,402.837,0.44265,0.820826,0
4881,0,2,48,81,6494.53,2,1,279.703,8.73252,6.50164,11.7792,12.9511,68.618,0.387795,29.2,388750,541460,99949.4,524.823,0.0755658,0,2.32728,9.35194,0.000244246,56.757,419.629,0.431705,0.818651,0
4882,0,2,48,82,6494.53,2,1,550.353,9.43518,6.68133,11.0585,13.9738,68.8743,0.32074,29.2,388750,541460,99949.4,559.243,0.0707033,0,2.43509,7.81573,0.000593815,54.2598,404.584,0.465794,0.826038,0
4883,0,2,48,83,6494.53,2,1,700,6.1999,6.84098,11.367,13.8946,69.0115,0.358268,29.2,388750,541460,99949.4,581.011,0.0740741,0,2.54711,8.51786,0.000457741,56.066,418.26,0.463153,0.824253,0
4884,0,2,48,84,6494.53,2,1,700,8.31247,6.7541,10.2188,17.2903,74.1623,0.240157,29.2,388750,86034,99949.4,651.17,0.0652406,0,1.60688,9.03009,0.000442482,52.6175,399.597,0.576344,0.924077,0
4885,0,2,48,85,6494.53,2,1,700,0.0348364,6.85574,7.62917,22.283,76.441,0.0925197,29.2,388750,86034,99949.4,745.874,0.0492147,0,-0.771261,9.2037,0.000472938,44.8989,340.477,0.742765,0.97921,0
4886,0,2,48,86,6494.53,2,1,100,2.5057,6.96393,8.36891,20.1911,74.3049,0.122047,29.2,388750,86034,99949.4,763.182,0.0754258,0,-0.423674,9.43477,0.000411002,47.2633,352.869,0.673038,0.959291,0
4887,0,2,48,87,6494.53,2,1,447.889,9.62153,7.02749,10.0416,17.7463,72.4389,0.247319,29.2,388750,86034,99949.4,766.917,0.0838122,0,2.4325,7.00796,0.00119022,51.184,395.824,0.591544,0.940099,0
4888,1,1,48,88,6494.53,1,0,-9999,-9999,-9999,8.60237,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4889,1,1,48,89,6494.53,1,0,-9999,-9999,-9999,8.12088,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4890,1,1,48,90,6494.53,1,0,-9999,-9999,-9999,8.78254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4891,1,1,48,91,6494.53,1,0,-9999,-9999,-9999,9.792,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4892,1,1,48,92,6494.53,1,0,-9999,-9999,-9999,10.1312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4893,1,1,48,93,6494.53,1,0,-9999,-9999,-9999,10.4227,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4894,1,1,48,94,6494.53,1,0,-9999,-9999,-9999,10.4153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4895,1,1,48,95,6494.53,1,0,-9999,-9999,-9999,10.5105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4896,1,1,48,96,6494.53,1,0,-9999,-9999,-9999,10.3749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4897,1,1,48,97,6494.53,1,0,-9999,-9999,-9999,10.3836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4898,1,1,48,98,6494.53,1,0,-9999,-9999,-9999,10.1862,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4899,1,1,48,99,6494.53,1,0,-9999,-9999,-9999,10.183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4900,1,1,49,0,6309.89,1,0,-9999,-9999,-9999,14.7336,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4901,1,1,49,1,6309.89,1,0,-9999,-9999,-9999,15.3311,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4902,1,1,49,2,6309.89,1,0,-9999,-9999,-9999,15.4812,-9999,-9999,-9999,29.2,23500,34.3768,19.94,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4903,1,1,49,3,6309.89,1,0,-9999,-9999,-9999,15.6969,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4904,1,1,49,4,6309.89,1,0,-9999,-9999,-9999,15.7447,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4905,1,1,49,5,6309.89,1,0,-9999,-9999,-9999,15.7311,-9999,-9999,-9999,29.2,23500,34.3768,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4906,1,1,49,6,6309.89,1,0,-9999,-9999,-9999,15.8074,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4907,1,1,49,7,6309.89,1,0,-9999,-9999,-9999,15.9124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4908,1,1,49,8,6309.89,1,0,-9999,-9999,-9999,15.7524,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4909,1,1,49,9,6309.89,1,0,-9999,-9999,-9999,14.9055,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4910,1,1,49,10,6309.89,1,0,-9999,-9999,-9999,14.4801,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4911,1,1,49,11,6309.89,1,0,-9999,-9999,-9999,10.2048,-9999,-9999,-9999,29.2,32183.3,541460,180520,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
