GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,1,1,0,0,12108.3,1,0,-9999,-9999,-9999,28.9296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
1,1,1,0,1,12108.3,1,0,-9999,-9999,-9999,28.8855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
2,1,1,0,2,12108.3,1,0,-9999,-9999,-9999,28.838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
3,1,1,0,3,12108.3,1,0,-9999,-9999,-9999,28.8351,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4,1,1,0,4,12108.3,1,0,-9999,-9999,-9999,28.8341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
5,1,1,0,5,12108.3,1,0,-9999,-9999,-9999,28.8402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
6,1,1,0,6,12108.3,1,0,-9999,-9999,-9999,28.85,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
7,1,1,0,7,12108.3,1,0,-9999,-9999,-9999,28.8496,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
8,1,1,0,8,12108.3,1,0,-9999,-9999,-9999,28.8528,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
9,1,1,0,9,12108.3,1,0,-9999,-9999,-9999,28.858,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
10,1,1,0,10,12108.3,1,0,-9999,-9999,-9999,28.8925,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
11,1,1,0,11,12108.3,1,0,-9999,-9999,-9999,28.8883,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
12,1,1,0,12,12108.3,1,0,-9999,-9999,-9999,28.9219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
13,1,1,0,13,12108.3,1,0,-9999,-9999,-9999,28.9777,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
14,1,1,0,14,12108.3,1,0,-9999,-9999,-9999,29.0024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
15,1,1,0,15,12108.3,1,0,-9999,-9999,-9999,28.9992,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
16,1,1,0,16,12108.3,1,0,-9999,-9999,-9999,28.9912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
17,1,1,0,17,12108.3,1,0,-9999,-9999,-9999,28.9736,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
18,1,1,0,18,12108.3,1,0,-9999,-9999,-9999,29.0002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
19,1,1,0,19,12108.3,1,0,-9999,-9999,-9999,29.0083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
20,1,1,0,20,12108.3,1,0,-9999,-9999,-9999,29.0089,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
21,1,1,0,21,12108.3,1,0,-9999,-9999,-9999,29.0109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
22,1,1,0,22,12108.3,1,0,-9999,-9999,-9999,28.9905,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
23,1,1,0,23,12108.3,1,0,-9999,-9999,-9999,28.991,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
24,1,1,0,24,12108.3,1,0,-9999,-9999,-9999,28.9516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
25,1,1,0,25,12108.3,1,0,-9999,-9999,-9999,28.9537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
26,1,1,0,26,12108.3,1,0,-9999,-9999,-9999,28.9347,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
27,1,1,0,27,12108.3,1,0,-9999,-9999,-9999,28.9242,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
28,1,1,0,28,12108.3,1,0,-9999,-9999,-9999,28.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
29,1,1,0,29,12108.3,1,0,-9999,-9999,-9999,28.9246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
30,1,1,0,30,12108.3,1,0,-9999,-9999,-9999,28.9426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
31,1,1,0,31,12108.3,1,0,-9999,-9999,-9999,28.9372,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
32,1,1,0,32,12108.3,1,0,-9999,-9999,-9999,28.9491,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
33,1,1,0,33,12108.3,1,0,-9999,-9999,-9999,28.9658,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
34,1,1,0,34,12108.3,1,0,-9999,-9999,-9999,28.9481,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
35,1,1,0,35,12108.3,1,0,-9999,-9999,-9999,28.9385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
36,1,1,0,36,12108.3,1,0,-9999,-9999,-9999,28.9523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
37,1,1,0,37,12108.3,1,0,-9999,-9999,-9999,28.957,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
38,1,1,0,38,12108.3,1,0,-9999,-9999,-9999,28.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
39,1,1,0,39,12108.3,1,0,-9999,-9999,-9999,28.9584,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
40,1,1,0,40,12108.3,1,0,-9999,-9999,-9999,28.9556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
